,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
0,기아,K5 하이브리드,노블레스,11200000,11년11월(12년형),"125,493km",하이브리드(가솔린),오토,정보없음,중형,"1,999cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,5회,보통,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
1,기아,K5 2세대,렌터카 2.0 LPI MX 럭셔리,10000000,17년04월(17년형),"100,596km",LPG,오토,9.6Km,중형,"1,999cc",검정색,없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1
2,기아,K5,2.0 LPI 럭셔리,7700000,13년04월(13년형),"93,632km",LPG,오토,정보없음,중형,"2,000cc",검정색,정보없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
3,기아,K5 2세대,렌터카 2.0 LPI MX 럭셔리,7800000,15년07월(16년형),"135,000km",LPG,오토,정보없음,중형,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,있음,2회,많음,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
4,기아,더 뉴 K5,LPI 디럭스 기본형,8500000,15년02월(15년형),"60,000km",LPG,오토,정보없음,중형,"1,999cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,2회,짧음,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,기아,K5 2세대,렌터카 2.0 LPI SX 프레스티지,11200000,16년02월(16년형),"105,030km",LPG,오토,정보없음,중형,"1,999cc",남색,없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
6,기아,K5 2세대,2.0 가솔린 SX 노블레스,9900000,15년09월(16년형),"155,663km",가솔린,오토,12.1Km,중형,0cc,진주색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,많음,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
7,기아,더 뉴 K5,LPI 디럭스 기본형,9990000,15년02월(15년형),"90,000km",LPG,오토,정보없음,중형,"1,999cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,2회,보통,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0
8,기아,K5,2.0 LPI 럭셔리,6990000,13년02월(13년형),"125,072km",LPG,오토,정보없음,중형,"1,999cc",검정색,없음,없음,없음,사고없음,없음,없음,있음,2회,보통,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
9,기아,K5,가솔린 2.0 스마트 스페셜,6100000,11년05월(11년형),"95,257km",가솔린,오토,정보없음,중형,"2,000cc",은색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10,기아,K5 2세대,2.0 가솔린 MX 프레스티지,10800000,16년04월(16년형),"107,207km",가솔린,오토,12.1Km,중형,"1,970cc",은색,없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
11,기아,K5,가솔린 2.0 럭셔리,7300000,11년05월(11년형),"115,859km",가솔린,오토,정보없음,중형,"1,998cc",미색,없음,없음,없음,사고있음,없음,없음,없음,4회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
