,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
0,기아,더 뉴 모닝,바이퓨얼 럭셔리,5500000,15년05월(16년형),"127,244km",LPG,오토,정보없음,경차,998cc,흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1
1,기아,all new 모닝,디럭스 스페셜,5400000,13년02월(13년형),"31,132km",가솔린,오토,17.0Km,경차,998cc,진주색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1
2,기아,all new 모닝밴,2인승밴 일반형,2700000,14년10월(15년형),"182,230km",가솔린,오토,정보없음,경차,998cc,진주색,없음,없음,없음,사고있음,없음,없음,없음,3회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,기아,all new 모닝,럭셔리 스포츠,5700000,12년10월(12년형),"88,400km",가솔린,오토,정보없음,경차,998cc,진주색,없음,없음,없음,사고있음,없음,없음,없음,4회,보통,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
4,기아,더 뉴 모닝,스포츠 터보 런 하이,8700000,16년06월(16년형),"40,944km",가솔린,CVT,정보없음,경차,998cc,흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
5,기아,all new 모닝,럭셔리 스포츠,6500000,13년09월(14년형),"57,455km",가솔린,오토,17.0Km,경차,998cc,진주색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
6,기아,all new 모닝,스마트 바이퓨얼,4600000,14년09월(15년형),"112,691km",가솔린,오토,정보없음,경차,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,있음,4회,많음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,기아,all new 모닝,럭셔리 바이퓨얼,5700000,11년09월(12년형),"32,800km",가솔린+LPG,오토,정보없음,경차,998cc,은색,없음,없음,없음,사고없음,없음,없음,없음,3회,짧음,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
8,기아,all new 모닝,스마트,4100000,11년07월(12년형),"60,000km",가솔린,오토,17.0Km,경차,998cc,회색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9,기아,뉴모닝,SLX 고급형,2700000,08년06월(08년형),"48,890km",가솔린,오토,정보없음,경차,999cc,은색,없음,없음,없음,사고있음,없음,없음,없음,4회,짧음,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10,기아,올 뉴 모닝(JA),프레스티지,9700000,17년12월(17년형),"28,902km",가솔린,오토,15.3Km,경차,998cc,검정색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
11,기아,뉴모닝,SLX 스페셜,2800000,10년09월(11년형),"86,000km",가솔린,오토,정보없음,경차,999cc,은색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
12,기아,더 뉴 모닝,디럭스,6300000,15년12월(16년형),"70,524km",가솔린,오토,정보없음,경차,998cc,베이지,없음,없음,없음,사고없음,없음,없음,없음,없음,많음,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1
13,기아,all new 모닝,스마트,3800000,12년03월(12년형),"108,278km",가솔린,오토,17.0Km,경차,998cc,진주색,없음,없음,없음,사고없음,없음,없음,없음,없음,많음,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
