,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
0,기아,봉고3,1톤 킹캡 초장축 CRDi 노블레스,7300000,13년02월(13년형),"101,245km",디젤,수동,정보없음,트럭,0cc,초록색,정보없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,기아,봉고3,1톤 초장축 킹캡 CRDi DLX DLX,4900000,10년10월(11년형),"195,235km",디젤,수동,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,5회,보통,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,기아,봉고3,1톤 활어수송차 초장축 킹캡 럭셔리,6300000,13년11월(13년형),"125,581km",디젤,수동,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,4회,보통,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,기아,봉고3,워크스루밴 아웃도어형 킹캡 초장축,31000000,18년03월(18년형),"2,867km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
4,기아,봉고3,1톤 냉동탑차 초장축 표준형 킹캡 럭셔리,6300000,11년11월(12년형),"90,000km",디젤,수동,정보없음,트럭,"2,902cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,5회,짧음,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5,기아,봉고3,1톤 초장축 더블캡 CRDi 럭셔리,13500000,19년03월(19년형),"16,018km",디젤,수동,정보없음,트럭,"2,902cc",청색,없음,없음,없음,사고없음,없음,없음,없음,없음,보통,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1
6,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GLX,4500000,08년09월(09년형),"215,030km",디젤,수동,정보없음,트럭,"2,497cc",파랑색,없음,없음,없음,사고없음,없음,없음,없음,3회,보통,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7,기아,봉고3,1톤 내장탑차 하이탑,3600000,09년12월(10년형),"144,388km",디젤,수동,정보없음,트럭,"2,902cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,6회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,기아,봉고3,1톤 내장탑차 LTD,8300000,13년06월(13년형),"68,450km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,기아,봉고3,1톤 내장탑차 킹캡 하이탑,9300000,16년08월(16년형),"82,000km",디젤,수동,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,기아,봉고3,더블캡 내장탑,4300000,10년03월(10년형),"110,000km",디젤,수동,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,4회,짧음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,기아,봉고3,1톤 냉동탑차 초장축 경제형 킹캡 디럭스,4200000,10년03월(10년형),"107,975km",디젤,수동,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,기아,봉고3,스낵카,16500000,15년05월(15년형),"8,435km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,2회,짧음,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
13,기아,봉고3,1톤 윙바디 초장축 수동식 킹캡 디럭스,14800000,17년12월(18년형),"86,116km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,3 건,1 건,사고없음,없음,없음,없음,없음,많음,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14,기아,봉고3,1톤 카고,4300000,11년09월(12년형),"223,851km",디젤,수동,정보없음,트럭,"2,902cc",흰색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,기아,봉고3,1톤 일반덤프 장축 4WD 표준캡 디럭스,11800000,11년02월(11년형),"88,453km",디젤,수동,정보없음,트럭,"2,902cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,기아,봉고3,1톤 내장탑차Ⅱ 초장축 택배전용 킹캡 럭셔리,11600000,17년04월(17년형),"30,464km",디젤,수동,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
17,기아,봉고3,1톤 내장탑 파워게이트 초장축 킹캡 럭셔리,18500000,17년04월(17년형),"21,848km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,4회,짧음,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
18,기아,봉고3,1톤 냉동탑차 초장축 표준형 킹캡 럭셔리 듀얼컴프,13500000,17년02월(17년형),"123,638km",디젤,오토,정보없음,트럭,"2,902cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
19,기아,봉고3,1톤 냉동탑차 초장축 경제형 킹캡 디럭스,15200000,17년09월(18년형),"28,573km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,1회,짧음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,기아,봉고3,1톤 냉동탑차 초장축 표준형 킹캡 럭셔리 듀얼컴프,12500000,17년10월(17년형),"133,947km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
21,기아,봉고3,1톤 킹캡 초장축 CRDi 럭셔리,7200000,16년05월(16년형),"180,010km",디젤,수동,정보없음,트럭,"2,497cc",청색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
22,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GX,3700000,08년08월(09년형),"285,000km",디젤,수동,정보없음,트럭,"2,200cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,5회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,기아,봉고3,1.2톤 냉동탑차 초장축 표준형 표준캡 프레스티지,5300000,10년10월(11년형),"42,970km",디젤,수동,정보없음,트럭,"2,902cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
24,기아,봉고3,1톤 초장축 더블캡 CRDi DLX DLX,8400000,15년06월(15년형),"58,617km",디젤,수동,정보없음,트럭,0cc,흰색,정보없음,없음,1 건,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
25,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GX 스페셜,5700000,13년05월(13년형),"289,273km",디젤,오토,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
