,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
0,기아,카니발 R,그랜드카니발 GX 그랜드 팩,5500000,10년11월(10년형),"155,132km",디젤,오토,정보없음,RV,"2,199cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,기아,카니발 R,그랜드카니발 GLX 기본형,4900000,10년08월(10년형),"190,366km",디젤,오토,정보없음,RV,"2,199cc",검정,없음,없음,없음,사고있음,없음,없음,없음,4회,보통,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,기아,더 뉴 카니발,하이리무진 3.3 가솔린 7인승 프레지던트,45900000,18년06월(19년형),"13,013km",가솔린,오토,7.9Km,RV,"3,342cc",검정색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
3,기아,올 뉴 카니발,9인승 3.3 가솔린 하이리무진 노블레스,42800000,16년09월(17년형),"85,000km",가솔린,오토,8.3Km,RV,"3,342cc",검정색,없음,없음,없음,사고없음,없음,없음,있음,2회,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
4,기아,카니발 R,그랜드카니발 GLX 고급형,11300000,12년10월(13년형),"65,855km",디젤,오토,정보없음,RV,"2,200cc",은색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1
5,기아,올 뉴 카니발,9인승 2.2 디젤 하이리무진 노블레스,38990000,17년02월(17년형),"45,849km",디젤,오토,10.3Km,RV,"2,199cc",검정색,없음,없음,없음,사고없음,없음,없음,없음,2회,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
6,기아,그랜드카니발,GLX 최고급형,1900000,08년09월(09년형),"260,000km",디젤,오토,정보없음,RV,0cc,노랑색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7,기아,올 뉴 카니발,9인승 2.2 디젤 하이리무진 노블레스,35200000,16년07월(16년형),"37,668km",디젤,오토,10.3Km,RV,"2,200cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,3회,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
8,기아,카니발2,9인승 디젤 PARK,2000000,04년02월(04년형),"160,000km",디젤,오토,정보없음,RV,"2,902cc",노랑,없음,없음,없음,사고없음,없음,없음,없음,6회,짧음,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
9,기아,올 뉴 카니발,9인승 2.2 디젤 노블레스,24700000,16년01월(16년형),"40,000km",디젤,오토,11.2Km,RV,"2,199cc",회색,없음,없음,없음,사고없음,없음,없음,있음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,기아,카니발 R,그랜드카니발 GLX 프리미엄,10900000,13년07월(13년형),"114,779km",디젤,오토,정보없음,RV,0cc,검정색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,기아,올 뉴 카니발,9인승 2.2 디젤 럭셔리,15900000,16년02월(16년형),"149,121km",디젤,오토,10.3Km,RV,"2,200cc",다크그레이,없음,없음,없음,사고없음,없음,없음,있음,1회,많음,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1
12,기아,올 뉴 카니발,9인승 2.2 디젤 럭셔리,17200000,16년02월(16년형),"106,283km",디젤,오토,10.3Km,RV,"2,200cc",다크그레이,없음,없음,없음,사고없음,없음,없음,있음,1회,많음,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1
13,기아,올 뉴 카니발,11인승 2.2 디젤 디럭스,13500000,17년09월(18년형),"171,485km",디젤,오토,정보없음,RV,"2,200cc",검정색,없음,없음,없음,사고없음,없음,없음,있음,1회,많음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,기아,카니발 R,그랜드카니발 GLX R 스페셜,6500000,10년10월(10년형),"130,000km",디젤,오토,정보없음,RV,0cc,노랑색,정보없음,없음,1 건,사고있음,없음,없음,없음,3회,짧음,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1
15,기아,그랜드카니발,GX 그랜드 팩,5300000,08년07월(08년형),"112,564km",디젤,오토,정보없음,RV,"2,902cc",은색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
16,기아,올 뉴 카니발,7인승 2.2 디젤 리무진 매직스페이스,26900000,18년01월(18년형),"44,512km",디젤,오토,정보없음,RV,"2,200cc",쥐색,없음,없음,없음,사고없음,없음,없음,있음,1회,많음,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1
17,기아,카니발 R,그랜드카니발 GX 그랜드 팩,7900000,11년01월(11년형),"123,686km",디젤,오토,정보없음,RV,"2,199cc",진주색,없음,없음,없음,사고없음,없음,없음,없음,3회,보통,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
18,기아,뉴카니발,LIMITED,3500000,07년02월(07년형),"240,661km",디젤,오토,정보없음,RV,"2,902cc",은색,없음,없음,없음,사고있음,없음,없음,없음,7회,보통,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
