,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
0,기아,k7,프레스티지 기본형,27400000,17,37493,기타,오토,16.2,대형,0,검정색,0,없음,없음,사고없음,없음,없음,없음,1,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.327637249390235
1,기아,k7,2.4 GDI 프레스티지 스페셜,10700000,13,91877,가솔린,오토,11.3,대형,2400,진주색,0,없음,없음,사고있음,없음,없음,없음,2,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-0.6372486832046822
2,기아,k7,프레스티지 기본형,18800000,17,137414,하이브리드(가솔린),오토,16.2,대형,2359,회색,0,없음,없음,사고있음,없음,없음,있음,2,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.31577982302399027
3,기아,k7,2.2 디젤 프레스티지 일반형,21900000,16,39000,디젤,오토,11.6,대형,2199,검정색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.680519127876939
4,기아,k7,2.4 GDI 프레스티지 스페셜,10900000,13,112290,가솔린,오토,11.3,대형,2359,검정,0,없음,없음,사고있음,없음,없음,있음,5,보통,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6137171151496532
5,기아,k7,LPI 3.0 럭셔리,10100000,11,71754,가솔린,오토,11.6,대형,2999,은색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,-0.707843387369769
6,기아,k7,3.0 GDI 노블레스,8700000,11,105656,가솔린,오토,11.6,대형,2999,흰색,0,없음,없음,사고있음,없음,없음,없음,4,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8725643637549717
7,기아,k7,3.0 GDI 노블레스,5900000,11,186051,가솔린,오토,11.6,대형,2999,검정,0,없음,없음,사고있음,없음,없음,있음,5,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.202006316525377
8,기아,k7,2.4 GDi 리미티드,17500000,17,90000,가솔린,오토,11.1,대형,0,검정색,0,없음,1 건,사고있음,없음,없음,있음,1,많음,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0.1628246306663021
9,기아,k7,2.4 GDI 럭셔리,6300000,11,155607,가솔린,오토,11.6,대형,2359,검정색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-1.154943180415319
