,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
0,르노삼성,SM3,6500000,13,65864,가솔린,오토,15.0,준중형,1596,은색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.8466131373763188
1,르노삼성,SM3,6500000,12,71024,가솔린,오토,15.0,준중형,1598,은색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0.8466131373763188
3,르노삼성,SM3,8880000,17,42500,전기,오토,15.0,준중형,74,흰색,0,없음,없음,사고없음,없음,없음,있음,2,보통,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1.8998868091595547
4,르노삼성,SM3,3500000,10,187355,가솔린,오토,15.0,준중형,1600,은색,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,-0.48104275142607916
5,르노삼성,SM3,2900000,6,123000,가솔린,오토,15.0,준중형,1596,검정색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.7465739291865588
6,르노삼성,SM3,4200000,10,115935,가솔린,오토,15.0,준중형,1598,진주색,0,없음,없음,사고없음,없음,없음,없음,2,짧음,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.1712563773721863
7,르노삼성,SM3,1950000,6,109629,가솔린,오토,15.0,준중형,1600,은색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-1.166998293973985
8,르노삼성,SM3,6700000,15,73948,가솔린,오토,15.0,준중형,1598,흰색,0,없음,없음,사고없음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0.9351235299631454
9,르노삼성,SM3,7500000,15,66261,가솔린,오토,15.0,준중형,1598,흰색,0,없음,없음,사고없음,없음,없음,있음,0,보통,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1.2891651003104516
10,르노삼성,SM3,1900000,9,166020,가솔린,오토,15.0,준중형,1600,검정색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1.1891258921206915
11,르노삼성,SM3,3900000,10,38084,가솔린,오토,15.0,준중형,1600,은색,0,없음,없음,사고있음,없음,없음,없음,4,짧음,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.3040219662524261
12,르노삼성,SM3,5500000,10,51411,가솔린,오토,15.0,준중형,1600,흰색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.4040611744421862
13,르노삼성,SM3,4200000,10,73841,가솔린,오토,15.0,준중형,1600,검정색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,-0.1712563773721863
