,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
0,현대,그랜저,15200000,15,47095,디젤,오토,14.0,대형,2198,검정색,0,없음,없음,사고없음,없음,없음,있음,3,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.23257180206998687
1,현대,그랜저,17000000,16,84364,가솔린,오토,11.4,대형,0,흰색,0,없음,1 건,사고있음,없음,없음,있음,1,많음,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0.43268953493169976
2,현대,그랜저,2800000,9,192131,가솔린,오토,11.4,대형,0,은색,0,없음,없음,사고있음,없음,없음,없음,2,보통,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,-1.146017024310702
3,현대,그랜저,19500000,17,80000,LPG,오토,7.6,대형,3000,검정색,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.7106308305729677
4,현대,그랜저,11400000,14,130000,디젤,오토,13.8,대형,2199,검정색,0,없음,없음,사고있음,없음,없음,없음,0,많음,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,-0.18989896730474035
5,현대,그랜저,11600000,15,120600,가솔린,오토,11.3,대형,2359,검정,0,없음,1 건,사고있음,없음,없음,없음,2,많음,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,-0.1676636636534389
6,현대,그랜저,13400000,14,150000,LPG,오토,11.4,대형,2999,검정색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.03245406920827398
7,현대,그랜저,3900000,8,85532,가솔린,오토,11.4,대형,2656,검정색,0,없음,없음,사고없음,없음,없음,없음,4,짧음,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,-1.0237228542285441
8,현대,그랜저,23290000,17,71668,디젤,오토,14.3,대형,2199,다크블루,0,없음,없음,사고있음,없음,없음,없음,0,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.1319898347651298
9,현대,그랜저,23900000,17,87000,디젤,오토,14.3,대형,2199,흰색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.1998075109015993
