,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
0,기아,모닝,바이퓨얼 럭셔리,5500000,15,127244,LPG,오토,16.7,경차,998,흰색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0.06236843061040971
1,기아,모닝,디럭스 스페셜,5400000,13,31132,가솔린,오토,17.0,경차,998,진주색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0.025549456596279583
2,기아,모닝,2인승밴 일반형,2700000,14,182230,가솔린,오토,16.7,경차,998,진주색,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9685628417852339
3,기아,모닝,럭셔리 스포츠,5700000,12,88400,가솔린,오토,16.7,경차,998,진주색,0,없음,없음,사고있음,없음,없음,없음,4,보통,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.13600637863866996
4,기아,모닝,스포츠 터보 런 하이,8700000,16,40944,가솔린,CVT,16.7,경차,998,흰색,0,없음,없음,사고있음,없음,없음,없음,2,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1.2405755990625738
5,기아,모닝,럭셔리 스포츠,6500000,13,57455,가솔린,오토,17.0,경차,998,진주색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.430558170751711
6,기아,모닝,스마트 바이퓨얼,4600000,14,112691,가솔린,오토,16.7,경차,0,흰색,0,없음,없음,사고있음,없음,없음,있음,4,많음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.26900233551676145
7,기아,모닝,럭셔리 바이퓨얼,5700000,11,32800,가솔린+LPG,오토,16.7,경차,998,은색,0,없음,없음,사고없음,없음,없음,없음,3,짧음,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0.13600637863866996
8,기아,모닝,스마트,4100000,11,60000,가솔린,오토,17.0,경차,998,회색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.4530972055874121
9,기아,모닝,SLX 고급형,2700000,8,48890,가솔린,오토,16.7,경차,999,은색,0,없음,없음,사고있음,없음,없음,없음,4,짧음,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.9685628417852339
