,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
0,기아,봉고3,1톤 킹캡 초장축 CRDi 노블레스,7300000,13,101245,디젤,수동,9.1,트럭,0,초록색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.5076505550758189
1,기아,봉고3,1톤 초장축 킹캡 CRDi DLX DLX,4900000,10,195235,디젤,수동,9.1,트럭,2500,흰색,0,없음,없음,사고있음,없음,없음,있음,5,보통,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.9162902516835829
2,기아,봉고3,1톤 활어수송차 초장축 킹캡 럭셔리,6300000,13,125581,디젤,수동,9.1,트럭,2500,흰색,0,없음,없음,사고있음,없음,없음,없음,4,보통,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.6779170953290539
4,기아,봉고3,1톤 냉동탑차 초장축 표준형 킹캡 럭셔리,6300000,11,90000,디젤,수동,9.1,트럭,2902,흰색,0,없음,없음,사고없음,없음,없음,없음,5,짧음,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.6779170953290539
5,기아,봉고3,1톤 초장축 더블캡 CRDi 럭셔리,13500000,19,16018,디젤,수동,9.1,트럭,2902,청색,0,없음,없음,사고없음,없음,없음,없음,0,보통,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0.5480019944942383
6,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GLX,4500000,8,215030,디젤,수동,9.1,트럭,2497,파랑색,0,없음,없음,사고없음,없음,없음,없음,3,보통,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.9843968677848769
7,기아,봉고3,1톤 내장탑차 하이탑,3600000,9,144388,디젤,수동,9.1,트럭,2902,흰색,0,없음,없음,사고있음,없음,없음,있음,6,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1376367540127885
8,기아,봉고3,1톤 내장탑차 LTD,8300000,13,68450,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.3373840148225839
9,기아,봉고3,1톤 내장탑차 킹캡 하이탑,9300000,16,82000,디젤,수동,9.1,트럭,2500,흰색,0,없음,없음,사고없음,없음,없음,없음,1,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16711747456934886
10,기아,봉고3,더블캡 내장탑,4300000,10,110000,디젤,수동,9.1,트럭,2500,흰색,0,없음,없음,사고없음,없음,없음,없음,4,짧음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.018450175835524
11,기아,봉고3,1톤 냉동탑차 초장축 경제형 킹캡 디럭스,4200000,10,107975,디젤,수동,9.1,트럭,2500,흰색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0354768298608474
12,기아,봉고3,스낵카,16500000,15,8435,디젤,오토,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,2,짧음,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1.0588016152539432
13,기아,봉고3,1톤 윙바디 초장축 수동식 킹캡 디럭스,14800000,17,86116,디젤,오토,9.1,트럭,2497,흰색,0,3 건,1 건,사고없음,없음,없음,없음,0,많음,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.7693484968234438
14,기아,봉고3,1톤 카고,4300000,11,223851,디젤,수동,9.1,트럭,2902,흰색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.018450175835524
15,기아,봉고3,1톤 일반덤프 장축 4WD 표준캡 디럭스,11800000,11,88453,디젤,수동,9.1,트럭,2902,파랑색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25854887606373866
16,기아,봉고3,1톤 내장탑차Ⅱ 초장축 택배전용 킹캡 럭셔리,11600000,17,30464,디젤,수동,9.1,트럭,2500,흰색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0.22449556801309167
17,기아,봉고3,1톤 내장탑 파워게이트 초장축 킹캡 럭셔리,18500000,17,21848,디젤,오토,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,4,짧음,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1.3993346957604134
18,기아,봉고3,1톤 냉동탑차 초장축 표준형 킹캡 럭셔리 듀얼컴프,13500000,17,123638,디젤,오토,9.1,트럭,2902,흰색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0.5480019944942383
19,기아,봉고3,1톤 냉동탑차 초장축 경제형 킹캡 디럭스,15200000,17,28573,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,있음,1,짧음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8374551129247377
20,기아,봉고3,1톤 냉동탑차 초장축 표준형 킹캡 럭셔리 듀얼컴프,12500000,17,133947,디젤,오토,9.1,트럭,2497,흰색,0,없음,없음,사고있음,없음,없음,없음,0,많음,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.3777354542410032
21,기아,봉고3,1톤 킹캡 초장축 CRDi 럭셔리,7200000,16,180010,디젤,수동,9.1,트럭,2497,청색,0,없음,없음,사고있음,없음,없음,없음,0,많음,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.5246772091011424
22,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GX,3700000,8,285000,디젤,수동,9.1,트럭,2200,파랑색,0,없음,없음,사고있음,없음,없음,없음,5,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1206100999874649
23,기아,봉고3,1.2톤 냉동탑차 초장축 표준형 표준캡 프레스티지,5300000,10,42970,디젤,수동,9.1,트럭,2902,흰색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.8481836355822889
24,기아,봉고3,1톤 초장축 더블캡 CRDi DLX DLX,8400000,15,58617,디젤,수동,9.1,트럭,0,흰색,0,없음,1 건,사고있음,없음,없음,없음,2,짧음,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,-0.3203573607972604
25,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GX 스페셜,5700000,13,289273,디젤,오토,9.1,트럭,2500,흰색,0,없음,없음,사고있음,없음,없음,없음,0,많음,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.780077019480995
26,기아,봉고3,1톤 내장탑차Ⅱ 초장축 미닫이 킹캡 럭셔리,7300000,14,199264,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고있음,없음,없음,있음,4,많음,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,-0.5076505550758189
