,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
0,현대,스타렉스,8900000,10,322345,디젤,오토,9.3,RV,2497,은색,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5464390313084924
1,현대,스타렉스,11500000,14,89000,디젤,오토,9.3,승합,2497,검정색,0,없음,없음,사고있음,없음,없음,없음,4,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1356733413498213
2,현대,스타렉스,18900000,17,11140,LPG,오토,9.3,승합,2359,노랑색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1.0334290069940884
3,현대,스타렉스,13500000,16,87132,디젤,오토,9.3,승합,2900,은색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0.18030026631069482
4,현대,스타렉스,11990000,15,110279,디젤,오토,9.3,승합,2359,검정,0,없음,없음,사고있음,없음,없음,있음,3,많음,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,-0.05825980747299487
5,현대,스타렉스,13300000,14,67092,디젤,오토,9.3,승합,2497,회색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.1487029055446432
6,현대,스타렉스,7200000,11,158000,디젤,오토,9.3,승합,2500,흰색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.8150165978199311
7,현대,스타렉스,9890000,14,130977,디젤,오토,9.3,승합,2497,검정,0,없음,없음,사고없음,없음,없음,없음,2,많음,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,-0.39003209551653684
8,현대,스타렉스,10700000,15,197000,디젤,오토,9.3,승합,2497,회색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2620627844140278
9,현대,스타렉스,15590000,16,31138,디젤,오토,9.3,승합,2459,은색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5104926863159341
10,현대,스타렉스,5090000,13,292335,디젤,오토,9.3,승합,2497,은색,0,없음,없음,사고있음,없음,없음,없음,7,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1483687539017755
11,현대,스타렉스,6190000,11,236560,디젤,오토,9.3,승합,2497,흰색,0,없음,없음,사고있음,없음,없음,없음,5,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9745832696884916
12,현대,스타렉스,18000000,17,29172,디젤,오토,9.3,승합,2497,은색,0,없음,없음,사고없음,없음,없음,있음,1,짧음,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.8912408835468562
13,현대,스타렉스,18000000,17,36052,디젤,오토,9.3,승합,2497,은색,0,없음,없음,사고없음,없음,없음,있음,1,짧음,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.8912408835468562
14,현대,스타렉스,11900000,14,168631,디젤,오토,9.3,승합,2497,은색,0,없음,없음,사고있음,없음,없음,있음,2,많음,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,-0.0724786198177181
15,현대,스타렉스,20300000,17,19809,디젤,오토,9.3,승합,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1.2546105323564496
16,현대,스타렉스,21300000,17,2287,디젤,오토,9.3,승합,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1.4125973361867077
17,현대,스타렉스,5000000,8,220000,디젤,오토,9.3,승합,2500,은색,0,없음,없음,사고있음,없음,없음,없음,4,보통,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1.1625875662464988
18,현대,스타렉스,17900000,15,52357,디젤,오토,9.3,승합,0,노랑색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.8754422031638304
19,현대,스타렉스,19500000,18,51000,디젤,오토,9.3,트럭,2497,검정색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1.1282210892922433
20,현대,스타렉스,7300000,8,173000,디젤,오토,9.3,승합,2497,흰색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7992179174369052
21,현대,스타렉스,12700000,14,112249,디젤,오토,9.3,승합,2497,회색,0,없음,없음,사고있음,없음,없음,있음,1,보통,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0.05391082324648836
22,현대,스타렉스,11000000,12,118829,디젤,오토,9.3,승합,2497,회색,0,없음,없음,사고있음,없음,없음,없음,2,보통,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,-0.21466674326495036
26,현대,스타렉스,13800000,16,50340,디젤,오토,9.3,승합,2497,하이퍼메탈릭,0,없음,없음,사고없음,없음,없음,있음,1,짧음,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0.22769630745977223
27,현대,스타렉스,6500000,9,188679,디젤,오토,9.3,승합,2497,은색,0,없음,없음,사고없음,없음,없음,없음,1,보통,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,-0.9256073605011117
28,현대,스타렉스,6900000,10,230492,디젤,오토,9.3,승합,0,은색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8624126389690084
29,현대,스타렉스,12200000,13,105248,디젤,오토,9.3,승합,0,은색,0,없음,없음,사고있음,없음,없음,없음,0,보통,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,-0.025082578668640675
30,현대,스타렉스,15000000,16,34980,디젤,오토,9.3,승합,2497,노랑색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0.41728047205608193
31,현대,스타렉스,6700000,10,144075,디젤,수동,9.3,승합,2497,회색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.89400999973506
32,현대,스타렉스,11700000,14,148379,디젤,오토,9.3,승합,0,회색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10407598058376971
33,현대,스타렉스,12200000,14,113899,디젤,오토,9.3,승합,2497,은색,0,없음,1 건,사고있음,없음,없음,없음,2,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025082578668640675
34,현대,스타렉스,23700000,19,1284,LPG,오토,9.3,승합,2359,흰색,0,없음,없음,사고없음,없음,없음,있음,3,짧음,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1.7917656653793272
35,현대,스타렉스,13900000,14,129755,디젤,오토,9.3,승합,2500,검정색,0,없음,없음,사고있음,없음,없음,없음,4,많음,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0.24349498784279805
37,현대,스타렉스,22500000,16,3691,디젤,오토,9.3,승합,0,흰색,0,없음,1 건,사고없음,없음,없음,없음,3,짧음,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.6021815007830174
38,현대,스타렉스,5300000,9,101597,디젤,수동,9.3,승합,2500,은색,0,없음,없음,사고있음,없음,없음,있음,6,짧음,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.1151915250974214
39,현대,스타렉스,22500000,18,11604,디젤,오토,9.3,승합,0,노랑색,0,없음,1 건,사고있음,없음,없음,없음,0,짧음,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1.6021815007830174
40,현대,스타렉스,6990000,7,139802,디젤,오토,9.3,승합,0,은색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8481938266242852
41,현대,스타렉스,8500000,10,132418,디젤,오토,9.3,승합,2500,회색,0,없음,없음,사고없음,없음,없음,있음,3,짧음,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.6096337528405955
42,현대,스타렉스,7770000,11,110000,디젤,오토,9.3,승합,2497,흰색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,-0.724964119636684
43,현대,스타렉스,21900000,12,44134,디젤,오토,9.3,승합,0,검정색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1.5073894184848626
44,현대,스타렉스,15300000,14,30000,디젤,오토,9.3,승합,2497,노랑,0,없음,1 건,사고있음,없음,없음,없음,2,짧음,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0.46467651320515935
45,현대,스타렉스,14990000,15,67256,디젤,오토,9.3,승합,0,노랑색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41570060401777936
46,현대,스타렉스,17770000,16,24303,디젤,오토,9.3,승합,2497,은색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8549039186658968
47,현대,스타렉스,17000000,16,49470,디젤,오토,9.3,승합,0,노랑색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7332540797165981
48,현대,스타렉스,15300000,15,44241,디젤,오토,9.3,승합,2497,노랑,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46467651320515935
49,현대,스타렉스,20500000,16,23000,디젤,오토,9.3,승합,0,노랑,0,없음,없음,사고없음,없음,없음,없음,2,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2862078931225014
50,현대,스타렉스,10490000,9,106641,디젤,오토,9.3,승합,0,은색,0,1 건,없음,사고있음,없음,없음,있음,3,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.295240013218382
51,현대,스타렉스,3200000,6,203258,디젤,수동,9.3,트럭,2476,은색,0,없음,없음,사고있음,없음,없음,없음,6,보통,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4469638131409632
52,현대,스타렉스,9900000,9,100000,디젤,오토,9.3,승합,2497,은색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.3884522274782342
53,현대,스타렉스,6200000,10,138101,디젤,오토,9.3,승합,2497,노랑,0,없음,없음,사고있음,없음,없음,없음,2,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9730034016501891
54,현대,스타렉스,18500000,14,30000,디젤,오토,9.3,승합,0,노랑,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9702342854619852
55,현대,스타렉스,10400000,13,152371,디젤,오토,9.3,승합,2497,검정색,0,없음,없음,사고있음,없음,없음,없음,1,많음,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,-0.3094588255631052
56,현대,스타렉스,11900000,13,60000,디젤,오토,9.3,승합,0,노랑,0,없음,1 건,사고있음,없음,없음,없음,0,짧음,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,-0.0724786198177181
57,현대,스타렉스,9500000,12,110113,디젤,오토,9.3,승합,2497,노랑색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.4516469490103375
58,현대,스타렉스,16400000,15,74788,디젤,오토,9.3,승합,2497,노랑색,0,없음,없음,사고있음,없음,없음,없음,4,보통,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0.6384619974184432
59,현대,스타렉스,13300000,15,117671,디젤,오토,9.3,승합,2497,회색,0,없음,1 건,사고있음,없음,없음,없음,1,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1487029055446432
60,현대,스타렉스,7500000,10,132200,디젤,오토,9.3,승합,2450,회색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7676205566708536
61,현대,스타렉스,6600000,10,165388,디젤,오토,9.3,승합,2497,은색,0,없음,1 건,사고없음,없음,없음,있음,3,보통,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.9098086801180859
62,현대,스타렉스,2900000,7,249822,디젤,오토,9.3,승합,0,은색,0,없음,없음,사고있음,없음,없음,없음,5,보통,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.4943598542900407
63,현대,스타렉스,10600000,14,128675,디젤,오토,9.3,승합,2500,흰색,0,없음,없음,사고없음,없음,없음,있음,3,많음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.2778614647970536
64,현대,스타렉스,16200000,17,74244,디젤,오토,9.3,승합,2500,검정색,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6068646366523917
65,현대,스타렉스,7300000,11,201736,디젤,오토,9.3,승합,2497,검정색,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.7992179174369052
66,현대,스타렉스,4990000,9,159200,디젤,수동,9.3,승합,2500,은색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1.1641674342848014
67,현대,스타렉스,11200000,9,67936,디젤,오토,9.3,승합,2500,노랑색,0,없음,없음,사고있음,없음,없음,없음,4,짧음,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.18306938249889876
68,현대,스타렉스,6400000,9,191827,디젤,오토,9.3,승합,2497,흰색,0,없음,없음,사고있음,없음,없음,없음,1,보통,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.9414060408841375
69,현대,스타렉스,12990000,16,110112,디젤,오토,9.3,승합,0,은색,0,없음,없음,사고있음,없음,없음,있음,0,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997269963572632
70,현대,스타렉스,12600000,15,105510,디젤,오토,9.3,승합,2497,다크그레이,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.03811214286346255
71,현대,스타렉스,15300000,15,94036,디젤,오토,9.3,승합,2500,회색,0,없음,없음,사고있음,없음,없음,있음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46467651320515935
72,현대,스타렉스,9900000,12,113626,디젤,오토,9.3,승합,2497,흰색,0,없음,1 건,사고있음,없음,없음,없음,1,보통,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,-0.3884522274782342
73,현대,스타렉스,7900000,12,205104,디젤,오토,9.3,승합,2497,흰색,0,없음,없음,사고있음,없음,없음,없음,5,많음,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,-0.7044258351387503
