,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
0,한국GM,스파크,6800000,15,47056,가솔린,오토,16.8,경차,0,흰색,0,없음,1 건,사고있음,없음,없음,없음,1,보통,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5723783302447202
1,한국GM,스파크,3990000,11,42900,가솔린,오토,15.8,경차,995,파랑,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7072551709723816
2,한국GM,스파크,11990000,20,2795,가솔린,오토,15.8,경차,0,흰색,0,없음,1 건,사고없음,없음,없음,없음,0,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9358295300015733
3,한국GM,스파크,4790000,15,16960,가솔린,오토,15.8,경차,0,흰색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3429467008749861
4,한국GM,스파크,5500000,14,72000,가솔린,오토,16.8,경차,0,검정색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.01962293366354754
5,한국GM,스파크,3400000,14,100000,가솔린,오토,16.8,경차,995,흰색,0,없음,없음,사고있음,없음,없음,없음,4,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9759326676692107
6,한국GM,스파크,6900000,16,28000,가솔린,오토,15.2,경차,999,흰색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6179168890068946
7,한국GM,스파크,4000000,12,85480,가솔린,오토,15.8,경차,0,검정색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7027013150961641
8,한국GM,스파크,8400000,16,45632,가솔린,오토,15.8,경차,0,흰색,0,없음,없음,사고없음,없음,없음,없음,3,보통,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3009952704395111
9,한국GM,스파크,7900000,17,9200,가솔린,오토,15.8,경차,998,다크그레이,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1.073302476628639
10,한국GM,스파크,3900000,16,100000,가솔린,CVT,15.8,경차,999,흰색,0,없음,없음,사고없음,없음,없음,없음,1,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7482398738583386
11,한국GM,스파크,7700000,15,77732,가솔린,오토,15.2,경차,999,보라색,0,없음,없음,사고없음,없음,없음,없음,5,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9822253591042901
12,한국GM,스파크,3990000,14,115000,가솔린,오토,15.8,경차,1000,흰색,0,없음,없음,사고있음,없음,없음,없음,0,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7072551709723816
13,한국GM,스파크,6790000,16,30743,가솔린,오토,15.4,경차,999,진주색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.5678244743685027
14,한국GM,스파크,4000000,12,116091,가솔린,수동,15.8,경차,997,초록색,0,없음,없음,사고없음,없음,없음,없음,2,많음,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.7027013150961641
15,한국GM,스파크,3400000,14,143825,가솔린,수동,16.8,경차,997,회색,0,없음,없음,사고없음,없음,없음,없음,1,많음,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,-0.9759326676692107
16,한국GM,스파크,9500000,18,18167,가솔린,오토,15.0,경차,998,빨강색,0,없음,없음,사고없음,없음,없음,없음,0,보통,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1.80191941682343
17,한국GM,스파크,4700000,16,65000,가솔린,수동,15.2,경차,999,흰색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.38393140376094304
18,한국GM,스파크,6500000,15,118734,가솔린,오토,15.8,경차,0,흰색,0,없음,1 건,사고있음,없음,없음,없음,2,많음,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0.43576265395819685
19,한국GM,스파크,6000000,14,69720,가솔린,오토,16.8,경차,0,파랑색,0,없음,없음,사고없음,없음,없음,없음,3,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20806986014732465
20,한국GM,스파크,5500000,14,70660,가솔린,오토,16.8,경차,0,노랑색,0,없음,없음,사고없음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01962293366354754
21,한국GM,스파크,6900000,15,75567,가솔린,오토,15.2,경차,999,흰색,0,없음,없음,사고있음,없음,없음,없음,0,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6179168890068946
22,한국GM,스파크,6500000,16,72402,가솔린,오토,15.2,경차,0,흰색,0,없음,없음,사고없음,없음,없음,없음,3,많음,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.43576265395819685
23,한국GM,스파크,4700000,12,72393,가솔린,오토,15.8,경차,995,분홍색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.38393140376094304
24,한국GM,스파크,10900000,18,19433,가솔린,오토,15.8,경차,0,회색,0,없음,1 건,사고없음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.439459239493872
25,한국GM,스파크,4800000,13,87234,가솔린,오토,16.8,경차,995,빨강,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3383928449987686
26,한국GM,스파크,4200000,13,132606,가솔린,오토,16.8,경차,0,흰색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.6116241975718152
27,한국GM,스파크,5700000,13,38000,가솔린,오토,16.8,경차,995,빨강,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07145418386080134
28,한국GM,스파크,4700000,14,125499,LPG,오토,14.0,경차,995,쥐색,0,없음,없음,사고없음,없음,없음,없음,3,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.38393140376094304
29,한국GM,스파크,5500000,14,89183,가솔린,오토,16.8,경차,0,파랑색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.01962293366354754
30,한국GM,스파크,6000000,16,97000,가솔린,오토,15.2,경차,999,흰색,0,없음,없음,사고있음,없음,없음,있음,2,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20806986014732465
31,한국GM,스파크,4290000,15,109898,가솔린,오토,15.2,경차,999,검정색,0,없음,없음,사고있음,없음,없음,없음,5,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5706394946858583
32,한국GM,스파크,8300000,17,41599,가솔린,오토,14.3,경차,999,검정,0,없음,1 건,사고있음,없음,없음,없음,5,많음,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1.2554567116773367
33,한국GM,스파크,8200000,16,14402,가솔린,오토,15.2,경차,999,은색,0,없음,없음,사고없음,없음,없음,있음,3,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2099181529151624
34,한국GM,스파크,6800000,16,44921,가솔린,오토,15.2,경차,999,파랑,0,없음,없음,사고없음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5723783302447202
35,한국GM,스파크,4900000,14,36794,가솔린,오토,16.8,경차,998,파랑색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29285428623659415
36,한국GM,스파크,4700000,16,107693,가솔린,오토,15.8,경차,999,은색,0,없음,없음,사고없음,없음,없음,있음,2,많음,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.38393140376094304
37,한국GM,스파크,3500000,13,150000,가솔린,오토,16.8,경차,995,회색,0,없음,없음,사고있음,없음,없음,없음,4,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9303941089070363
38,한국GM,스파크,3900000,14,78270,가솔린,오토,16.8,경차,0,흰색,0,없음,없음,사고있음,없음,없음,없음,4,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7482398738583386
39,한국GM,스파크,10400000,19,7206,가솔린,오토,15.8,경차,0,회색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2.2117664456829997
40,한국GM,스파크,3600000,13,100000,가솔린,오토,16.8,경차,0,빨강색,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.8848555501448618
41,한국GM,스파크,3820000,14,55212,가솔린,오토,15.8,경차,0,흰색,0,없음,없음,사고없음,없음,없음,있음,3,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7846707208680781
42,한국GM,스파크,7500000,17,15000,가솔린,오토,15.2,경차,0,회색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8911482415799412
43,한국GM,스파크,3800000,13,102068,가솔린,오토,16.8,경차,0,초록색,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.793778432620513
44,한국GM,스파크,4500000,14,120618,가솔린,오토,16.8,경차,0,흰색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.4750085212852919
45,한국GM,스파크,2800000,12,155397,가솔린,오토,15.8,경차,0,빨강색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2491640202422574
46,한국GM,스파크,5990000,17,30000,가솔린,오토,15.2,경차,999,검정색,0,없음,없음,사고없음,없음,없음,있음,2,보통,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0.20351600427110722
