,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
1,현대,쏘나타,15700000,17,72784,가솔린,오토,12.5,중형,0,회색,0,없음,1 건,사고없음,없음,없음,있음,3,많음,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.1991903347434663
2,현대,쏘나타,8990000,16,113817,LPG,오토,12.5,중형,1999,흰색,0,없음,없음,사고없음,없음,없음,있음,2,많음,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0.07007370853034871
3,현대,쏘나타,8800000,16,115312,LPG,오토,12.5,중형,1998,흰색,0,없음,없음,사고없음,없음,없음,있음,2,많음,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0.038101702721035385
4,현대,쏘나타,15900000,17,71427,LPG,오토,9.5,중형,1999,흰색,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.2328450777006383
5,현대,쏘나타,12100000,16,83042,가솔린,오토,12.6,중형,1596,파랑색,0,없음,없음,사고있음,없음,없음,없음,0,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.5934049615143719
6,현대,쏘나타,6700000,9,98416,LPG,오토,12.5,중형,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.3152730983292697
7,현대,쏘나타,6990000,13,145711,하이브리드(가솔린),오토,12.5,중형,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,-0.2664737210413704
8,현대,쏘나타,10400000,12,62274,하이브리드(가솔린),오토,12.5,중형,1999,흰색,0,없음,1 건,사고있음,없음,없음,없음,2,짧음,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0.30733964637841066
9,현대,쏘나타,4300000,9,139327,가솔린,오토,12.5,중형,1991,검정,0,없음,1 건,사고있음,없음,없음,없음,0,보통,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.7191300138153326
10,현대,쏘나타,6990000,13,61193,가솔린,오토,12.5,중형,1998,검정색,0,없음,1 건,사고있음,없음,없음,없음,0,짧음,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.2664737210413704
11,현대,쏘나타,5800000,11,107858,가솔린,오토,12.5,중형,1998,회색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-0.4667194416365433
12,현대,쏘나타,15500000,16,57356,LPG,오토,12.5,중형,1999,흰색,0,없음,없음,사고없음,없음,없음,없음,1,보통,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1.1655355917862944
13,현대,쏘나타,4100000,10,158809,가솔린,오토,12.5,중형,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7527847567725046
14,현대,쏘나타,5100000,11,112000,가솔린,오토,12.5,중형,1993,회색,0,없음,없음,사고있음,없음,없음,없음,0,보통,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,-0.5845110419866449
15,현대,쏘나타,4590000,11,170905,LPG,오토,12.5,중형,1999,흰색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6703306365274334
16,현대,쏘나타,16000000,17,33041,가솔린,오토,12.5,중형,1999,다크블루,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1.2496724491792242
17,현대,쏘나타,4900000,10,118000,가솔린,오토,12.5,중형,2000,은색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,-0.6181657849438169
18,현대,쏘나타,7500000,12,119000,하이브리드(가솔린),오토,12.5,중형,2000,회색,0,없음,없음,사고있음,없음,없음,없음,0,보통,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,-0.18065412650058205
