,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
0,현대,아반떼,4990000,11,140958,가솔린,오토,14.3,준중형,1591,파랑색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,-0.7601850747716773
1,현대,아반떼,5990000,11,103416,가솔린,오토,14.3,준중형,1591,흰색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-0.5082023411603034
2,현대,아반떼,7600000,15,46013,디젤,오토,14.3,준중형,1582,흰색,0,없음,없음,사고있음,없음,없음,있음,3,짧음,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,-0.10251014004599127
3,현대,아반떼,5900000,13,124574,디젤,오토,16.2,준중형,1582,흰색,0,없음,없음,사고있음,없음,없음,있음,4,보통,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,-0.530880787185327
4,현대,아반떼,7000000,16,112252,디젤,오토,18.4,준중형,0,은색,0,없음,없음,사고있음,없음,없음,있음,2,많음,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.25369978021281564
5,현대,아반떼,7200000,13,127899,디젤,오토,16.2,준중형,0,빨강색,0,없음,1 건,사고있음,없음,없음,없음,6,많음,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,-0.20330323349054086
6,현대,아반떼,7790000,15,80404,가솔린,오토,13.7,준중형,1591,파랑색,0,없음,없음,사고없음,없음,없음,없음,0,보통,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,-0.054633420659830206
7,현대,아반떼,12800000,17,48061,가솔린,오토,13.1,준중형,1591,흰색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1.2078000747331534
8,현대,아반떼,3700000,9,90308,가솔린,오토,14.3,준중형,1591,은색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,-1.0852428011303497
9,현대,아반떼,6900000,12,89513,가솔린,오토,14.3,준중형,1596,흰색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,-0.27889805357395303
10,현대,아반떼,6500000,10,64255,가솔린,오토,14.3,준중형,1591,파랑색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,-0.37969114701850265
11,현대,아반떼,4900000,10,146000,가솔린,오토,14.3,준중형,1600,흰색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,-0.782863520796701
12,현대,아반떼,6500000,13,150000,디젤,오토,16.2,준중형,1600,회색,0,없음,없음,사고있음,없음,없음,없음,0,많음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.37969114701850265
13,현대,아반떼,6500000,13,121000,가솔린,오토,14.3,준중형,1600,흰색,0,없음,없음,사고있음,없음,없음,없음,5,보통,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,-0.37969114701850265
14,현대,아반떼,6500000,13,54000,가솔린,오토,14.3,준중형,1600,회색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-0.37969114701850265
15,현대,아반떼,5100000,11,139000,가솔린,오토,14.3,준중형,1600,회색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,-0.7324669740744262
16,현대,아반떼,2900000,7,131000,가솔린,오토,14.3,준중형,1600,은색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,-1.286828988019449
