,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
0,기아,카니발,그랜드카니발 GX 그랜드 팩,5500000,10,155132,디젤,오토,10.7,RV,2199,파랑색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.100830124460545
1,기아,카니발,그랜드카니발 GLX 기본형,4900000,10,190366,디젤,오토,10.7,RV,2199,검정,0,없음,없음,사고있음,없음,없음,없음,4,보통,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1.1568322505318538
4,기아,카니발,그랜드카니발 GLX 고급형,11300000,12,65855,디젤,오토,10.7,RV,2200,은색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,-0.5594762391045602
6,기아,카니발,GLX 최고급형,1900000,8,260000,디젤,오토,10.7,RV,0,노랑색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-1.4368428808883975
7,기아,카니발,9인승 2.2 디젤 하이리무진 노블레스,35200000,16,37668,디젤,오토,10.3,RV,2200,흰색,0,없음,없음,사고없음,없음,없음,있음,3,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.671275116069239
8,기아,카니발,9인승 디젤 PARK,2000000,4,160000,디젤,오토,10.7,RV,2902,노랑,0,없음,없음,사고없음,없음,없음,없음,6,짧음,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-1.427509193209846
9,기아,카니발,9인승 2.2 디젤 노블레스,24700000,16,40000,디젤,오토,11.2,RV,2199,회색,0,없음,없음,사고없음,없음,없음,있음,2,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6912379098213355
10,기아,카니발,그랜드카니발 GLX 프리미엄,10900000,13,114779,디젤,오토,10.7,RV,0,검정색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5968109898187661
11,기아,카니발,9인승 2.2 디젤 럭셔리,15900000,16,149121,디젤,오토,10.3,RV,2200,다크그레이,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,-0.13012660589119304
12,기아,카니발,9인승 2.2 디젤 럭셔리,17200000,16,106283,디젤,오토,10.3,RV,2200,다크그레이,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,-0.008788666070024053
13,기아,카니발,11인승 2.2 디젤 디럭스,13500000,17,171485,디젤,오토,10.7,RV,2200,검정색,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3541351101764281
14,기아,카니발,그랜드카니발 GLX R 스페셜,6500000,10,130000,디젤,오토,10.7,RV,0,노랑색,0,없음,1 건,사고있음,없음,없음,없음,3,짧음,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,-1.0074932476750305
