,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
1,쌍용,코란도,6900000,13,109000,디젤,오토,10.7,SUV,1998,회색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,-0.7884952219970138
2,쌍용,코란도,9800000,14,87000,디젤,오토,11.6,SUV,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,-0.20409696261425964
3,쌍용,코란도,10800000,13,73621,디젤,오토,12.0,트럭,2000,검정,0,없음,없음,사고있음,없음,없음,없음,0,짧음,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,-0.0025803214477926697
4,쌍용,코란도,18500000,16,33000,디젤,오토,10.6,SUV,2157,쥐색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1.549097815534003
5,쌍용,코란도,10550000,12,109000,디젤,오토,12.0,트럭,1998,회색,0,없음,1 건,사고있음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05295948173940941
6,쌍용,코란도,4900000,13,170849,디젤,오토,10.7,SUV,1998,은색,0,없음,없음,사고있음,없음,없음,없음,2,많음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,-1.1915285043299477
7,쌍용,코란도,11700000,15,63456,디젤,오토,11.0,SUV,2000,흰색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0.1787846556020276
9,쌍용,코란도,7500000,12,113961,디젤,수동,12.0,트럭,1998,은색,0,없음,없음,사고없음,없음,없음,없음,3,보통,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.6675852372971337
10,쌍용,코란도,14200000,17,141297,디젤,오토,12.0,트럭,2157,흰색,0,없음,없음,사고없음,없음,없음,없음,1,많음,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0.682576258518195
11,쌍용,코란도,4900000,12,120625,디젤,수동,12.0,SUV,0,흰색,0,없음,1 건,사고있음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1915285043299477
12,쌍용,코란도,16200000,16,26917,디젤,오토,12.0,SUV,0,노랑색,0,없음,없음,사고없음,없음,없음,없음,4,짧음,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1.085609540851129
13,쌍용,코란도,13500000,16,108000,디젤,오토,12.0,트럭,1998,검정색,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5415146097016682
14,쌍용,코란도,6900000,12,203196,디젤,오토,12.0,트럭,2000,회색,0,없음,없음,사고있음,없음,없음,없음,5,많음,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,-0.7884952219970138
15,쌍용,코란도,8300000,12,142097,디젤,오토,12.0,트럭,1998,빨강,0,없음,없음,사고없음,없음,없음,없음,1,보통,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,-0.5063719243639601
16,쌍용,코란도,6800000,14,157390,디젤,오토,11.6,SUV,0,흰색,0,없음,1 건,사고있음,없음,없음,없음,1,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8086468861136605
17,쌍용,코란도,10400000,12,82975,디젤,오토,12.0,트럭,0,검정색,0,없음,1 건,사고없음,없음,없음,없음,2,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08318697791437946
18,쌍용,코란도,12000000,15,115850,디젤,오토,11.3,SUV,1998,검정색,0,없음,1 건,사고있음,없음,없음,없음,2,많음,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.2392396479519677
19,쌍용,코란도,8300000,13,202900,디젤,오토,12.0,트럭,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,4,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5063719243639601
20,쌍용,코란도,6300000,12,156846,디젤,오토,12.0,SUV,1999,파랑색,0,없음,없음,사고있음,없음,없음,없음,4,보통,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,-0.9094052066968941
21,쌍용,코란도,15000000,16,61739,디젤,오토,11.6,SUV,0,흰색,0,없음,없음,사고있음,없음,없음,있음,2,보통,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.8437895714513686
22,쌍용,코란도,17400000,17,38260,디젤,오토,12.0,트럭,2200,다크그레이,0,없음,없음,사고있음,없음,없음,없음,3,짧음,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.3274295102508893
23,쌍용,코란도,9700000,12,128896,디젤,오토,12.0,트럭,1998,회색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,-0.22424862673090634
