,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
0,한국GM,크루즈,4900000,13,119398,디젤,오토,12.5,준중형,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,1,보통,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.5673350076155994
2,한국GM,크루즈,5300000,16,119152,가솔린,오토,11.3,준중형,1800,회색,0,없음,1 건,사고없음,없음,없음,있음,1,많음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.41130282579383537
3,한국GM,크루즈,3690000,11,159438,가솔린,오토,12.5,준중형,1796,회색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,-1.0393323576264355
4,한국GM,크루즈,6800000,14,109000,가솔린,오토,12.6,준중형,1400,흰색,0,없음,없음,사고있음,없음,없음,없음,1,많음,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0.17381785603777966
5,한국GM,크루즈,3600000,13,137538,가솔린,오토,12.5,준중형,1800,검정색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,-1.0744395985363324
6,한국GM,크루즈,4200000,11,88000,가솔린,오토,12.5,준중형,1796,검정,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8403913258036864
7,한국GM,크루즈,6500000,12,88275,가솔린,오토,12.5,준중형,0,검정색,0,없음,1 건,사고있음,없음,없음,없음,1,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05679371967145665
8,한국GM,크루즈,5500000,13,113600,디젤,오토,13.8,준중형,1998,쥐색,0,없음,없음,사고없음,없음,없음,없음,3,보통,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,-0.33328673488295335
9,한국GM,크루즈,3300000,11,163070,가솔린,오토,12.5,준중형,1796,흰색,0,없음,1 건,사고없음,없음,없음,없음,2,많음,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-1.1914637349026553
10,한국GM,크루즈,4500000,12,101809,가솔린,수동,12.5,준중형,1591,빨강색,0,없음,없음,사고있음,없음,없음,없음,5,보통,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,-0.7233671894373633
