,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
0,쌍용,티볼리,16000000,17,7058,가솔린,오토,11.4,SUV,1597,진주색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.9616693283852369
1,쌍용,티볼리,15500000,17,40250,가솔린,오토,12.8,SUV,1597,파랑색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0.7688412092353717
2,쌍용,티볼리,15600000,17,8953,가솔린,오토,11.4,SUV,0,초록색,0,없음,1 건,사고없음,없음,없음,없음,0,짧음,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0.8074068330653448
3,쌍용,티볼리,14500000,17,35985,디젤,오토,11.4,SUV,1600,흰색,0,없음,없음,사고없음,없음,없음,없음,2,짧음,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0.38318497093564136
4,쌍용,티볼리,8990000,15,108256,가솔린,오토,12.3,SUV,1597,갈색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,-1.741780902095873
5,쌍용,티볼리,13500000,17,10000,디젤,오토,14.7,SUV,1597,빨강,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0024712673640890164
6,쌍용,티볼리,11500000,18,52349,가솔린,오토,12.8,SUV,1600,흰색,0,없음,1 건,사고있음,없음,없음,없음,1,많음,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,-0.7737837439635498
7,쌍용,티볼리,16000000,16,20397,디젤,오토,13.8,SUV,1597,쥐색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0.9616693283852369
8,쌍용,티볼리,13600000,15,47770,가솔린,오토,11.4,SUV,0,흰색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0.03609435646588402
9,쌍용,티볼리,16500000,18,31591,디젤,오토,14.2,SUV,1597,흰색,0,없음,없음,사고있음,없음,없음,없음,0,보통,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.1544974475351022
10,쌍용,티볼리,15600000,17,32874,디젤,오토,14.7,SUV,1597,흰색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.8074068330653448
11,쌍용,티볼리,17500000,19,9113,디젤,오토,14.2,SUV,1497,남색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1.5401536858348324
12,쌍용,티볼리,15500000,19,4390,가솔린,오토,11.4,SUV,1590,파랑색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0.7688412092353717
13,쌍용,티볼리,12900000,16,32044,가솔린,오토,11.4,SUV,1,파랑색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,-0.23386501034392723
14,쌍용,티볼리,12300000,17,79948,디젤,오토,13.3,SUV,1597,파랑,0,없음,없음,사고있음,없음,없음,있음,2,많음,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,-0.4652587533237655
15,쌍용,티볼리,16900000,19,11879,디젤,오토,11.4,SUV,1600,검정색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1.3087599428549943
16,쌍용,티볼리,14900000,16,5460,가솔린,오토,11.4,SUV,1597,흰색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.5374474662555335
17,쌍용,티볼리,10800000,15,68002,가솔린,오토,12.0,SUV,0,흰색,0,없음,1 건,사고있음,없음,없음,없음,2,보통,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,-1.043743110773361
18,쌍용,티볼리,14300000,18,49151,디젤,오토,13.3,SUV,1597,흰색,0,없음,1 건,사고있음,없음,없음,없음,0,많음,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0.3060537232756953
19,쌍용,티볼리,11600000,15,64160,가솔린,오토,12.0,SUV,1597,회색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,-0.7352181201335767
21,쌍용,티볼리,17400000,19,1100,가솔린,오토,15.2,SUV,0,흰색,0,없음,1 건,사고없음,없음,없음,없음,1,짧음,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1.5015880620048594
22,쌍용,티볼리,15300000,17,23000,가솔린,오토,12.8,SUV,1597,흰색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.6917099615754256
24,쌍용,티볼리,10500000,15,74351,가솔린,오토,12.0,SUV,1497,감청,0,없음,1 건,사고없음,없음,없음,없음,1,보통,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,-1.1594399822632802
25,쌍용,티볼리,12300000,15,37825,디젤,오토,15.3,SUV,1597,흰색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.4652587533237655
26,쌍용,티볼리,13990000,17,36580,디젤,오토,14.2,SUV,1597,흰색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0.18650028940277885
27,쌍용,티볼리,16400000,18,19000,가솔린,오토,14.7,SUV,1597,흰색,0,없음,없음,사고없음,없음,없음,없음,2,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.115931823705129
28,쌍용,티볼리,9800000,15,65814,가솔린,오토,11.4,SUV,1597,빨강색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,-1.4293993490730914
29,쌍용,티볼리,10700000,15,73628,디젤,오토,15.3,SUV,1600,흰색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,-1.082308734603334
30,쌍용,티볼리,15500000,16,16112,디젤,오토,13.8,SUV,1600,파랑색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0.7688412092353717
31,쌍용,티볼리,13800000,17,56104,가솔린,오토,14.7,SUV,1597,검붉은색,0,없음,1 건,사고있음,없음,없음,없음,0,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11322560412583009
32,쌍용,티볼리,8900000,16,103245,디젤,오토,14.5,SUV,1597,은색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7764899635428486
33,쌍용,티볼리,12300000,16,56145,디젤,오토,15.3,SUV,1597,다크블루,0,없음,없음,사고있음,없음,없음,없음,2,보통,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,-0.4652587533237655
34,쌍용,티볼리,8900000,16,120000,디젤,오토,14.7,SUV,1600,흰색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,-1.7764899635428486
35,쌍용,티볼리,15300000,17,34649,가솔린,오토,14.7,SUV,1597,검정색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.6917099615754256
36,쌍용,티볼리,8900000,15,125274,디젤,오토,15.3,SUV,1600,갈색,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,-1.7764899635428486
37,쌍용,티볼리,8850000,16,82825,디젤,오토,13.8,SUV,1597,흰색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,-1.7957727754578352
38,쌍용,티볼리,14500000,17,24206,가솔린,오토,12.8,SUV,1597,다크블루,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.38318497093564136
39,쌍용,티볼리,11900000,15,71375,디젤,오토,14.7,SUV,0,파랑색,0,없음,1 건,사고있음,없음,없음,없음,1,보통,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,-0.6195212486436577
40,쌍용,티볼리,13600000,18,31000,가솔린,오토,14.7,SUV,1600,흰색,0,없음,없음,사고없음,없음,없음,있음,0,보통,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0.03609435646588402
41,쌍용,티볼리,11700000,16,35094,가솔린,오토,11.4,SUV,1597,흰색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-0.6966524963036037
42,쌍용,티볼리,12500000,15,86711,가솔린,오토,12.0,SUV,0,흰색,0,없음,1 건,사고있음,없음,없음,없음,5,보통,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,-0.38812750566381937
43,쌍용,티볼리,16000000,17,29549,가솔린,오토,11.4,SUV,1597,흰색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9616693283852369
44,쌍용,티볼리,10990000,16,95770,디젤,오토,10.8,SUV,0,흰색,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,-0.9704684254964122
45,쌍용,티볼리,12100000,17,62162,가솔린,오토,11.4,SUV,1598,흰색,0,없음,없음,사고없음,없음,없음,있음,1,많음,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,-0.5423900009837115
46,쌍용,티볼리,14600000,18,31709,가솔린,오토,11.4,SUV,1597,흰색,0,없음,없음,사고없음,없음,없음,없음,2,보통,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0.4217505947656144
47,쌍용,티볼리,13000000,17,8171,가솔린,오토,11.4,SUV,1600,흰색,0,없음,없음,사고없음,없음,없음,있음,2,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1952993865139542
48,쌍용,티볼리,13500000,16,48811,디젤,오토,13.8,SUV,1597,흰색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-0.0024712673640890164
49,쌍용,티볼리,11500000,15,20000,가솔린,오토,12.3,SUV,0,은색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7737837439635498
50,쌍용,티볼리,12300000,16,52943,디젤,오토,15.3,SUV,1597,파랑색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,-0.4652587533237655
51,쌍용,티볼리,16490000,18,20781,가솔린,오토,12.8,SUV,1597,검정색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1.1506408851521048
52,쌍용,티볼리,16200000,19,23705,디젤,오토,14.2,SUV,1597,흰색,0,없음,없음,사고있음,없음,없음,없음,0,많음,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1.038800576045183
53,쌍용,티볼리,10900000,17,90745,디젤,오토,14.7,SUV,0,흰색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,-1.005177486943388
54,쌍용,티볼리,12500000,15,49000,가솔린,오토,11.4,SUV,1600,흰색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,-0.38812750566381937
55,쌍용,티볼리,12900000,16,53556,디젤,오토,13.8,SUV,0,흰색,0,없음,1 건,사고있음,없음,없음,없음,1,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23386501034392723
56,쌍용,티볼리,13000000,16,40459,디젤,오토,13.8,SUV,1597,파랑색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.1952993865139542
57,쌍용,티볼리,13200000,16,42746,가솔린,오토,10.8,SUV,1597,은색,0,없음,1 건,사고없음,없음,없음,있음,3,짧음,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,-0.11816813885400812
58,쌍용,티볼리,17500000,19,7400,가솔린,오토,12.8,SUV,2000,흰색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1.5401536858348324
59,쌍용,티볼리,14200000,17,66000,디젤,오토,14.7,SUV,1597,흰색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.2674880994457222
60,쌍용,티볼리,15100000,18,21000,디젤,오토,14.2,SUV,1597,회색,0,없음,없음,사고있음,없음,없음,있음,0,짧음,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0.6145787139154796
61,쌍용,티볼리,15600000,18,9357,가솔린,오토,12.8,SUV,0,초록색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0.8074068330653448
62,쌍용,티볼리,9400000,17,100000,디젤,오토,12.8,SUV,1597,흰색,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,-1.5836618443929835
63,쌍용,티볼리,10300000,15,130828,가솔린,오토,11.4,SUV,1597,흰색,0,없음,없음,사고있음,없음,없음,없음,0,많음,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,-1.236571229923226
64,쌍용,티볼리,11990000,15,23632,가솔린,오토,12.0,SUV,1597,은색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,-0.5848121871966818
65,쌍용,티볼리,15000000,19,10500,가솔린,오토,10.8,SUV,0,초록색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.5760130900855065
66,쌍용,티볼리,13500000,15,27000,가솔린,오토,12.0,SUV,1597,흰색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,-0.0024712673640890164
67,쌍용,티볼리,13700000,16,32000,가솔린,오토,12.8,SUV,1597,파랑색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.07465998029585706
