,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
0,현대,포터,19990000,20,567,디젤,오토,,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,2,짧음,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1.998764490125033
1,현대,포터,14700000,18,26535,디젤,오토,,트럭,2497,감청,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9827131419778008
2,현대,포터,4550000,9,284576,디젤,오토,,트럭,2497,진주색,0,없음,없음,사고있음,없음,없음,없음,5,많음,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.9667993691175503
3,현대,포터,16600000,19,44664,디젤,오토,,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,0,많음,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1.3476465184389994
4,현대,포터,16400000,17,46757,디젤,오토,,트럭,2497,파랑색,0,없음,없음,사고없음,없음,없음,없음,1,보통,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3092324788115048
5,현대,포터,8500000,13,87454,디젤,수동,,트럭,0,흰색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20812208647453187
6,현대,포터,13900000,18,80000,디젤,오토,,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,0,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8290569834678223
7,현대,포터,11000000,14,130000,디젤,오토,,트럭,2497,청색,0,없음,없음,사고없음,없음,없음,없음,2,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27205340886915064
8,현대,포터,4900000,12,216773,디젤,수동,,트럭,2497,흰색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8995747997694347
9,현대,포터,3900000,8,225602,디젤,수동,,트럭,2607,흰색,0,없음,없음,사고있음,없음,없음,없음,2,보통,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0916449979069076
