,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
0,르노삼성,뉴SM3,6500000,13년08월(14년형),"65,864km",가솔린,오토,15.0Km,준중형,"1,596cc",은색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1,르노삼성,뉴SM3,6500000,12년10월(13년형),"71,024km",가솔린,오토,15.0Km,준중형,"1,598cc",은색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1
2,르노삼성,SM3 네오,10800000,17년03월(17년형),"30,242km",가솔린,오토,13.3Km,준중형,"1,598cc",검정색,없음,없음,1 건,사고있음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
3,르노삼성,SM3 Z.E.,8880000,17년01월(16년형),"42,500km",전기,오토,정보없음,준중형,74cc,흰색,없음,없음,없음,사고없음,없음,없음,있음,2회,보통,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0
4,르노삼성,뉴SM3,3500000,10년04월(10년형),"187,355km",가솔린,오토,정보없음,준중형,"1,600cc",은색,없음,없음,없음,사고있음,없음,없음,없음,3회,많음,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
5,르노삼성,뉴SM3,2900000,06년04월(06년형),"123,000km",가솔린,오토,정보없음,준중형,"1,596cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
6,르노삼성,뉴SM3,4200000,10년04월(10년형),"115,935km",가솔린,오토,정보없음,준중형,"1,598cc",진주색,없음,없음,없음,사고없음,없음,없음,없음,2회,짧음,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7,르노삼성,SM3 뉴제너레이션,1950000,06년03월(06년형),"109,629km",가솔린,오토,정보없음,준중형,"1,600cc",은색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8,르노삼성,SM3 네오,6700000,15년09월(16년형),"73,948km",가솔린,오토,정보없음,준중형,"1,598cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
9,르노삼성,SM3 네오,7500000,15년12월(16년형),"66,261km",가솔린,오토,15.0Km,준중형,"1,598cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,없음,보통,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
10,르노삼성,뉴SM3,1900000,09년09월(10년형),"166,020km",가솔린,오토,정보없음,준중형,"1,600cc",검정색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
11,르노삼성,SM3 뉴제너레이션,3900000,10년03월(10년형),"38,084km",가솔린,오토,정보없음,준중형,"1,600cc",은색,없음,없음,없음,사고있음,없음,없음,없음,4회,짧음,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
12,르노삼성,뉴SM3,5500000,10년06월(11년형),"51,411km",가솔린,오토,정보없음,준중형,"1,600cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
13,르노삼성,뉴SM3,4200000,10년05월(11년형),"73,841km",가솔린,오토,정보없음,준중형,"1,600cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1
14,르노삼성,뉴SM3,4300000,09년07월(10년형),"55,457km",가솔린,오토,정보없음,준중형,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,없음,4회,짧음,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
15,르노삼성,뉴SM3,5370000,12년06월(12년형),"49,900km",가솔린,오토,15.0Km,준중형,"1,598cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
16,르노삼성,뉴SM3,2900000,10년02월(10년형),"123,544km",가솔린,오토,정보없음,준중형,"1,598cc",은색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
17,르노삼성,뉴SM3,1700000,06년11월(07년형),"93,931km",가솔린,오토,정보없음,준중형,0cc,검정색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,르노삼성,뉴SM3,3900000,10년06월(11년형),"48,557km",가솔린,오토,정보없음,준중형,0cc,초록색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
19,르노삼성,SM3 네오,8000000,14년08월(14년형),"37,234km",가솔린,오토,15.0Km,준중형,"1,600cc",쥐색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1
20,르노삼성,뉴SM3,2390000,07년09월(08년형),"79,451km",가솔린,오토,정보없음,준중형,"1,600cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,4회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,르노삼성,뉴SM3,3000000,10년09월(11년형),"145,430km",가솔린,오토,정보없음,준중형,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,르노삼성,SM3 네오,7900000,16년02월(16년형),"41,552km",가솔린,오토,15.0Km,준중형,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,르노삼성,뉴SM3,3990000,09년08월(10년형),"47,470km",가솔린,오토,정보없음,준중형,"1,598cc",은색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0
24,르노삼성,뉴SM3,4890000,11년01월(11년형),"82,000km",가솔린,오토,정보없음,준중형,"1,600cc",쥐색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1
25,르노삼성,뉴SM3,4000000,12년04월(12년형),"118,400km",가솔린,오토,정보없음,준중형,"1,598cc",흰색,정보없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
26,르노삼성,뉴SM3,2000000,13년07월(14년형),"313,966km",가솔린,오토,15.0Km,준중형,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,르노삼성,뉴SM3,2700000,10년11월(10년형),"137,709km",가솔린,오토,정보없음,준중형,"1,600cc",은색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
28,르노삼성,SM3 뉴제너레이션,1500000,06년02월(06년형),"139,000km",가솔린,오토,정보없음,준중형,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
29,르노삼성,뉴SM3,4590000,13년09월(14년형),"139,078km",가솔린,오토,15.0Km,준중형,"1,598cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,르노삼성,뉴SM3,4590000,10년11월(11년형),"56,695km",가솔린,오토,정보없음,준중형,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
31,르노삼성,뉴SM3,4200000,14년02월(14년형),"178,024km",가솔린,CVT,15.0Km,준중형,"1,599cc",진주색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,르노삼성,뉴SM3,1900000,09년09월(09년형),"192,191km",가솔린,오토,정보없음,준중형,"1,598cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,5회,보통,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
33,르노삼성,뉴SM3,3900000,11년04월(11년형),"121,105km",가솔린,오토,정보없음,준중형,"1,598cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
34,르노삼성,뉴SM3,2400000,12년11월(13년형),"165,665km",가솔린,오토,15.0Km,준중형,"1,600cc",청색,없음,1 건,없음,사고있음,없음,없음,없음,없음,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,르노삼성,뉴SM3,2900000,11년03월(11년형),"150,675km",가솔린,오토,정보없음,준중형,0cc,흰색,없음,없음,없음,사고있음,없음,없음,없음,4회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,르노삼성,뉴SM3,4200000,13년02월(13년형),"122,050km",가솔린,오토,15.0Km,준중형,"1,598cc",은색,없음,없음,없음,사고있음,없음,없음,없음,없음,보통,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,르노삼성,SM3,1300000,04년04월(04년형),"118,551km",가솔린,오토,정보없음,준중형,"1,500cc",검정,없음,없음,없음,사고없음,없음,없음,없음,7회,짧음,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
38,르노삼성,뉴SM3,2700000,10년10월(11년형),"137,836km",가솔린,오토,정보없음,준중형,"1,598cc",검정,없음,없음,없음,사고있음,없음,없음,없음,4회,보통,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,르노삼성,SM3 네오,6500000,15년10월(16년형),"84,439km",가솔린,오토,15.0Km,준중형,"1,598cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,2회,보통,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
40,르노삼성,뉴SM3,3600000,10년04월(10년형),"140,000km",가솔린,오토,정보없음,준중형,"1,600cc",진주색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
41,르노삼성,SM3 네오,6500000,15년09월(16년형),"47,036km",가솔린,오토,정보없음,준중형,"1,600cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,2회,짧음,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
42,르노삼성,뉴SM3,2700000,11년01월(11년형),"186,487km",가솔린,오토,정보없음,준중형,"1,598cc",은색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
43,르노삼성,뉴SM3,4500000,13년07월(14년형),"83,257km",가솔린,오토,15.0Km,준중형,"1,598cc",진주색,없음,없음,없음,사고있음,없음,없음,있음,2회,짧음,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1
44,르노삼성,뉴SM3,4800000,13년07월(14년형),"118,370km",가솔린,오토,15.0Km,준중형,"1,598cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,보통,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
45,르노삼성,SM3,3300000,10년12월(11년형),"93,784km",가솔린,오토,정보없음,준중형,"1,598cc",검정,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
46,르노삼성,뉴SM3,4800000,13년01월(13년형),"120,896km",가솔린,오토,15.0Km,준중형,"1,598cc",검정,없음,없음,1 건,사고있음,없음,없음,없음,1회,보통,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1
47,르노삼성,SM3 네오,8600000,15년01월(15년형),"68,150km",가솔린,오토,15.0Km,준중형,"1,598cc",진주색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
48,르노삼성,뉴SM3,3400000,11년02월(11년형),"144,167km",가솔린,오토,정보없음,준중형,0cc,회색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,르노삼성,SM3 뉴제너레이션,1700000,07년07월(08년형),"86,236km",가솔린,오토,정보없음,준중형,"1,600cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,5회,짧음,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
50,르노삼성,SM3,2700000,04년11월(05년형),"69,000km",가솔린,오토,정보없음,준중형,"1,600cc",은색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
51,르노삼성,뉴SM3,1700000,08년01월(08년형),"145,298km",가솔린,오토,정보없음,준중형,"1,596cc",검정,없음,없음,없음,사고있음,없음,없음,없음,5회,보통,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
52,르노삼성,SM3 네오,6990000,16년08월(16년형),"40,336km",디젤,오토,17.7Km,준중형,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,있음,2회,짧음,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
53,르노삼성,뉴SM3,2900000,06년01월(06년형),"79,011km",가솔린,오토,정보없음,준중형,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,없음,4회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,르노삼성,뉴SM3,3600000,11년08월(11년형),"110,000km",가솔린,오토,정보없음,준중형,"1,598cc",진주,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
55,르노삼성,뉴SM3,3900000,13년11월(14년형),"103,084km",가솔린,오토,정보없음,준중형,"1,598cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
56,르노삼성,뉴SM3,3990000,10년11월(11년형),"90,000km",가솔린,오토,정보없음,준중형,"1,600cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
57,르노삼성,뉴SM3,4200000,09년11월(10년형),"112,054km",가솔린,오토,정보없음,준중형,"1,598cc",진주색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
58,르노삼성,뉴SM3,2000000,09년08월(10년형),"161,014km",가솔린,오토,정보없음,준중형,"1,598cc",흰색,없음,없음,1 건,사고있음,없음,없음,없음,5회,보통,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
59,르노삼성,SM3 네오,6800000,16년05월(16년형),"70,682km",디젤,오토,17.7Km,준중형,"1,461cc",회색,없음,없음,없음,사고없음,없음,없음,있음,2회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,르노삼성,뉴SM3,4500000,10년11월(11년형),"115,793km",가솔린,오토,정보없음,준중형,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,르노삼성,뉴SM3,4000000,11년06월(11년형),"43,000km",가솔린,오토,정보없음,준중형,"1,598cc",은색,없음,없음,1 건,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,르노삼성,SM3 뉴제너레이션,2700000,08년03월(08년형),"69,132km",가솔린,오토,정보없음,준중형,"1,596cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,5회,짧음,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
63,르노삼성,SM3 네오,6500000,14년12월(15년형),"63,706km",가솔린,오토,15.0Km,준중형,"1,598cc",빨간색,없음,없음,1 건,사고있음,없음,없음,없음,2회,짧음,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1
64,르노삼성,SM3,3500000,05년07월(05년형),"13,080km",가솔린,오토,정보없음,준중형,0cc,파랑색,정보없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
65,르노삼성,뉴SM3,5200000,14년06월(14년형),"91,652km",가솔린,오토,15.0Km,준중형,"1,600cc",흰색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
66,르노삼성,SM3 뉴제너레이션,2400000,07년07월(08년형),"93,504km",가솔린,오토,정보없음,준중형,"1,596cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,르노삼성,SM3 뉴제너레이션,1990000,06년01월(06년형),"131,211km",가솔린,오토,정보없음,준중형,"1,596cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,5회,짧음,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
68,르노삼성,뉴SM3,2800000,10년11월(11년형),"180,639km",가솔린,오토,정보없음,준중형,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
69,르노삼성,뉴SM3,2900000,10년09월(11년형),"204,806km",가솔린,오토,정보없음,준중형,"1,598cc",흰색,없음,없음,1 건,사고있음,없음,없음,없음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,르노삼성,뉴SM3,3300000,12년06월(12년형),"159,802km",가솔린,CVT,15.0Km,준중형,"1,598cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,3회,많음,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
71,르노삼성,SM3 네오,10400000,19년01월(19년형),"40,000km",가솔린,오토,13.8Km,준중형,"1,598cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,3회,많음,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1
72,르노삼성,뉴SM3,4300000,10년02월(10년형),"36,608km",가솔린,오토,정보없음,준중형,"1,598cc",은색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
73,르노삼성,뉴SM3,1800000,06년08월(06년형),"185,302km",가솔린,오토,정보없음,준중형,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,르노삼성,SM3 뉴제너레이션,3500000,10년09월(10년형),"74,770km",가솔린,오토,정보없음,준중형,"1,596cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
75,르노삼성,뉴SM3,3500000,09년12월(10년형),"110,305km",가솔린,CVT,정보없음,준중형,"1,598cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
76,르노삼성,뉴SM3,3400000,10년06월(11년형),"102,880km",가솔린,오토,정보없음,준중형,"1,596cc",은색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1
77,르노삼성,SM3 뉴제너레이션,1600000,07년12월(08년형),"111,399km",가솔린,오토,정보없음,준중형,"1,596cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,7회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,르노삼성,뉴SM3,1900000,12년01월(12년형),"168,690km",가솔린,오토,15.0Km,준중형,0cc,흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,르노삼성,뉴SM3,5200000,11년01월(11년형),"125,142km",가솔린,CVT,정보없음,준중형,"1,598cc",은색,없음,없음,1 건,사고없음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,르노삼성,뉴SM3,2300000,10년03월(10년형),"238,023km",가솔린,오토,정보없음,준중형,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,있음,8회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,르노삼성,SM3 네오,6300000,15년03월(15년형),"77,851km",가솔린,오토,15.0Km,준중형,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0
82,르노삼성,SM3 네오,7300000,15년05월(16년형),"60,250km",가솔린,오토,15.0Km,준중형,"1,600cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,르노삼성,뉴SM3,2400000,10년01월(10년형),"72,715km",가솔린,오토,정보없음,준중형,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
