,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
0,쌍용,신형 코란도,24000000,19년04월(19년형),"3,600km",디젤,오토,14.1Km,SUV,"1,597cc",흰색,없음,없음,정보없음,사고없음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
1,쌍용,코란도C,6900000,13년05월(13년형),"109,000km",디젤,오토,10.7Km,SUV,"1,998cc",회색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
2,쌍용,뉴코란도 C,9800000,14년02월(14년형),"87,000km",디젤,오토,11.6Km,SUV,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
3,쌍용,코란도 스포츠,10800000,13년02월(13년형),"73,621km",디젤,오토,정보없음,트럭,"2,000cc",검정,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
4,쌍용,코란도 투리스모,18500000,16년12월(16년형),"33,000km",디젤,오토,10.6Km,SUV,"2,157cc",쥐색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
5,쌍용,코란도 스포츠,10550000,12년02월(12년형),"109,000km",디젤,오토,정보없음,트럭,"1,998cc",회색,없음,없음,1 건,사고있음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,쌍용,코란도C,4900000,13년03월(13년형),"170,849km",디젤,오토,10.7Km,SUV,"1,998cc",은색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
7,쌍용,코란도 투리스모,11700000,15년06월(15년형),"63,456km",디젤,오토,11.0Km,SUV,"2,000cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
8,쌍용,뷰티플 코란도,25700000,19년03월(19년형),"17,159km",디젤,오토,14.1Km,SUV,"1,597cc",진주색,없음,없음,없음,사고없음,없음,없음,없음,없음,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
9,쌍용,코란도 스포츠,7500000,12년09월(12년형),"113,961km",디젤,수동,정보없음,트럭,"1,998cc",은색,없음,없음,없음,사고없음,없음,없음,없음,3회,보통,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,쌍용,더 뉴 코란도 스포츠,14200000,17년02월(17년형),"141,297km",디젤,오토,정보없음,트럭,"2,157cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,많음,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0
11,쌍용,코란도C,4900000,12년07월(12년형),"120,625km",디젤,수동,정보없음,SUV,0cc,흰색,정보없음,없음,1 건,사고있음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,쌍용,코란도 투리스모,16200000,16년07월(16년형),"26,917km",디젤,오토,정보없음,SUV,0cc,노랑색,정보없음,없음,없음,사고없음,없음,없음,없음,4회,짧음,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
13,쌍용,코란도 스포츠,13500000,16년03월(16년형),"108,000km",디젤,오토,정보없음,트럭,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,3회,많음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,쌍용,코란도 스포츠,6900000,12년04월(12년형),"203,196km",디젤,오토,정보없음,트럭,"2,000cc",회색,없음,없음,없음,사고있음,없음,없음,없음,5회,많음,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
15,쌍용,코란도 스포츠,8300000,12년09월(12년형),"142,097km",디젤,오토,정보없음,트럭,"1,998cc",빨강,없음,없음,없음,사고없음,없음,없음,없음,1회,보통,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
16,쌍용,뉴코란도 C,6800000,14년04월(14년형),"157,390km",디젤,오토,11.6Km,SUV,0cc,흰색,정보없음,없음,1 건,사고있음,없음,없음,없음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,쌍용,코란도 스포츠,10400000,12년05월(12년형),"82,975km",디젤,오토,정보없음,트럭,0cc,검정색,정보없음,없음,1 건,사고없음,없음,없음,없음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,쌍용,코란도 투리스모,12000000,15년03월(15년형),"115,850km",디젤,오토,11.3Km,SUV,"1,998cc",검정색,정보없음,없음,1 건,사고있음,없음,없음,없음,2회,많음,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
19,쌍용,코란도 스포츠,8300000,13년05월(13년형),"202,900km",디젤,오토,정보없음,트럭,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,4회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,쌍용,코란도C,6300000,12년01월(12년형),"156,846km",디젤,오토,정보없음,SUV,"1,999cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,4회,보통,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0
21,쌍용,코란도 투리스모,15000000,16년10월(16년형),"61,739km",디젤,오토,11.6Km,SUV,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,있음,2회,보통,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
22,쌍용,더 뉴 코란도 스포츠,17400000,17년05월(17년형),"38,260km",디젤,오토,정보없음,트럭,"2,200cc",다크그레이,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
23,쌍용,코란도 스포츠,9700000,12년03월(12년형),"128,896km",디젤,오토,정보없음,트럭,"1,998cc",회색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
24,쌍용,코란도C,5700000,13년02월(13년형),"115,915km",디젤,오토,10.7Km,SUV,"2,000cc",은색,정보없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
25,쌍용,코란도 투리스모,9900000,14년01월(14년형),"131,430km",디젤,오토,11.3Km,SUV,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1
26,쌍용,코란도 투리스모,23200000,15년03월(15년형),"54,325km",디젤,오토,10.3Km,SUV,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
27,쌍용,코란도 투리스모,9500000,13년05월(14년형),"78,200km",디젤,오토,12.0Km,SUV,"2,450cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
28,쌍용,뷰티플 코란도,19990000,19년09월(19년형),"7,711km",디젤,오토,14.1Km,SUV,"1,597cc",자주색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
29,쌍용,더 뉴 코란도 스포츠,15800000,16년09월(17년형),"112,938km",디젤,오토,정보없음,트럭,"2,157cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
30,쌍용,뉴코란도 C,8700000,14년02월(14년형),"140,660km",디젤,오토,11.6Km,SUV,"1,998cc",다크그레이,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
31,쌍용,코란도 스포츠,9500000,13년01월(13년형),"159,200km",디젤,오토,정보없음,트럭,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,쌍용,코란도 스포츠,10900000,12년10월(12년형),"97,000km",디젤,오토,정보없음,트럭,"2,000cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,5회,짧음,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1
33,쌍용,뷰티플 코란도,24400000,19년07월(19년형),"24,700km",디젤,오토,14.1Km,SUV,0cc,회색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,많음,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0
34,쌍용,뉴코란도 C,8700000,14년05월(14년형),"60,400km",디젤,수동,정보없음,SUV,"2,000cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
35,쌍용,코란도C,5300000,11년04월(11년형),"107,000km",디젤,오토,정보없음,SUV,"1,998cc",회색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
36,쌍용,코란도 스포츠,12900000,14년01월(14년형),"72,920km",디젤,오토,정보없음,트럭,"1,998cc",검정색,정보없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
37,쌍용,코란도C,4000000,11년06월(11년형),"176,972km",디젤,오토,정보없음,SUV,"1,998cc",은색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
38,쌍용,코란도 스포츠,13200000,15년01월(15년형),"54,331km",디젤,오토,정보없음,트럭,"1,998cc",쥐색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,쌍용,뉴코란도 C,8750000,13년10월(14년형),"70,000km",디젤,오토,11.6Km,SUV,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
40,쌍용,코란도 스포츠,11500000,12년04월(12년형),"92,747km",디젤,오토,정보없음,트럭,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,쌍용,뉴코란도 C,10700000,15년02월(15년형),"80,406km",디젤,오토,13.3Km,SUV,"2,000cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
42,쌍용,뉴코란도 C,11500000,14년04월(14년형),"46,032km",디젤,오토,11.6Km,SUV,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
43,쌍용,코란도 투리스모,10500000,14년03월(14년형),"62,800km",디젤,오토,11.3Km,SUV,"2,200cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,3회,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
44,쌍용,코란도 투리스모,9100000,13년07월(14년형),"117,000km",디젤,오토,11.3Km,SUV,"1,998cc",다크블루,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1
45,쌍용,뉴코란도 C,6200000,14년05월(14년형),"198,000km",디젤,오토,정보없음,SUV,0cc,흰색,정보없음,없음,1 건,사고없음,없음,없음,없음,1회,많음,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
46,쌍용,코란도 투리스모,13400000,14년10월(15년형),"209,197km",디젤,오토,10.3Km,SUV,"1,998cc",검정,없음,없음,없음,사고있음,없음,없음,없음,3회,많음,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
