,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
0,쌍용,티볼리,16000000,17년02월(17년형),"7,058km",가솔린,오토,11.4Km,SUV,"1,597cc",진주색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
1,쌍용,티볼리,15500000,17년03월(17년형),"40,250km",가솔린,오토,정보없음,SUV,"1,597cc",파랑색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1
2,쌍용,티볼리,15600000,17년04월(17년형),"8,953km",가솔린,오토,11.4Km,SUV,0cc,초록색,정보없음,없음,1 건,사고없음,없음,없음,없음,없음,짧음,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
3,쌍용,티볼리,14500000,17년05월(17년형),"35,985km",디젤,오토,11.4Km,SUV,"1,600cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,2회,짧음,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1
4,쌍용,티볼리,8990000,15년02월(15년형),"108,256km",가솔린,오토,12.3Km,SUV,"1,597cc",갈색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1
5,쌍용,티볼리 아머,13500000,17년06월(17년형),"10,000km",디젤,오토,14.7Km,SUV,"1,597cc",빨강,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,쌍용,티볼리,11500000,18년04월(18년형),"52,349km",가솔린,오토,정보없음,SUV,"1,600cc",흰색,없음,없음,1 건,사고있음,없음,없음,없음,1회,많음,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
7,쌍용,티볼리 에어,16000000,16년11월(17년형),"20,397km",디젤,오토,13.8Km,SUV,"1,597cc",쥐색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1
8,쌍용,티볼리,13600000,15년11월(16년형),"47,770km",가솔린,오토,11.4Km,SUV,0cc,흰색,정보없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
9,쌍용,티볼리 아머,16500000,18년03월(18년형),"31,591km",디젤,오토,14.2Km,SUV,"1,597cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,보통,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
10,쌍용,티볼리,15600000,17년01월(17년형),"32,874km",디젤,오토,14.7Km,SUV,"1,597cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
11,쌍용,티볼리 아머,17500000,19년03월(19년형),"9,113km",디젤,오토,14.2Km,SUV,"1,497cc",남색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1
12,쌍용,티볼리 아머,15500000,19년01월(19년형),"4,390km",가솔린,오토,11.4Km,SUV,"1,590cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1
13,쌍용,티볼리,12900000,16년03월(16년형),"32,044km",가솔린,오토,11.4Km,SUV,1cc,파랑색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
14,쌍용,티볼리 에어,12300000,17년10월(18년형),"79,948km",디젤,오토,13.3Km,SUV,"1,597cc",파랑,없음,없음,없음,사고있음,없음,없음,있음,2회,많음,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0
