,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
0,현대,그랜저HG,15200000,15년12월(16년형),"47,095km",디젤,오토,14.0Km,대형,"2,198cc",검정색,없음,없음,없음,사고없음,없음,없음,있음,3회,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
1,현대,그랜저HG,17000000,16년08월(17년형),"84,364km",가솔린,오토,정보없음,대형,0cc,흰색,정보없음,없음,1 건,사고있음,없음,없음,있음,1회,많음,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0
2,현대,그랜저 뉴 럭셔리,2800000,09년06월(10년형),"192,131km",가솔린,오토,정보없음,대형,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
3,현대,그랜저IG,19500000,17년01월(17년형),"80,000km",LPG,오토,7.6Km,대형,"3,000cc",검정색,없음,없음,없음,사고없음,없음,없음,있음,1회,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
4,현대,그랜저HG,11400000,14년07월(15년형),"130,000km",디젤,오토,13.8Km,대형,"2,199cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1
5,현대,그랜저HG,11600000,15년07월(16년형),"120,600km",가솔린,오토,11.3Km,대형,"2,359cc",검정,없음,없음,1 건,사고있음,없음,없음,없음,2회,많음,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1
6,현대,그랜저HG,13400000,14년07월(15년형),"150,000km",LPG,오토,정보없음,대형,"2,999cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
7,현대,그랜저TG,3900000,08년04월(08년형),"85,532km",가솔린,오토,정보없음,대형,"2,656cc",검정색,없음,없음,없음,사고없음,없음,없음,없음,4회,짧음,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
8,현대,그랜저IG,23290000,17년06월(18년형),"71,668km",디젤,오토,14.3Km,대형,"2,199cc",다크블루,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
9,현대,그랜저IG,23900000,17년01월(17년형),"87,000km",디젤,오토,14.3Km,대형,"2,199cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
10,현대,그랜저HG,8300000,13년07월(14년형),"166,996km",LPG,오토,정보없음,대형,0cc,빨강색,정보없음,없음,1 건,사고있음,없음,없음,있음,3회,많음,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0
11,현대,그랜저 뉴 럭셔리,2790000,08년08월(09년형),"109,993km",가솔린,오토,10.6Km,대형,"2,656cc",검정,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,현대,그랜저HG,16500000,14년11월(15년형),"46,021km",디젤,오토,13.8Km,대형,"2,200cc",은회색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
