,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
0,현대,그랜드스타렉스,8900000,10년07월(11년형),"322,345km",디젤,오토,정보없음,RV,"2,497cc",은색,없음,없음,없음,사고있음,없음,없음,없음,3회,많음,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,현대,그랜드스타렉스,11500000,14년07월(15년형),"89,000km",디젤,오토,정보없음,승합,"2,497cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,4회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,현대,그랜드스타렉스,18900000,17년11월(18년형),"11,140km",LPG,오토,정보없음,승합,"2,359cc",노랑색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
3,현대,그랜드스타렉스,13500000,16년01월(16년형),"87,132km",디젤,오토,정보없음,승합,"2,900cc",은색,없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0
4,현대,그랜드스타렉스,11990000,15년03월(16년형),"110,279km",디젤,오토,정보없음,승합,"2,359cc",검정,없음,없음,없음,사고있음,없음,없음,있음,3회,많음,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0
5,현대,그랜드스타렉스,13300000,14년11월(15년형),"67,092km",디젤,오토,정보없음,승합,"2,497cc",회색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
6,현대,그랜드스타렉스,7200000,11년01월(11년형),"158,000km",디젤,오토,정보없음,승합,"2,500cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
7,현대,그랜드스타렉스,9890000,14년10월(15년형),"130,977km",디젤,오토,정보없음,승합,"2,497cc",검정,없음,없음,없음,사고없음,없음,없음,없음,2회,많음,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0
8,현대,그랜드스타렉스,10700000,15년06월(16년형),"197,000km",디젤,오토,정보없음,승합,"2,497cc",회색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,현대,그랜드스타렉스,15590000,16년08월(17년형),"31,138km",디젤,오토,정보없음,승합,"2,459cc",은색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,현대,그랜드스타렉스,5090000,13년01월(13년형),"292,335km",디젤,오토,정보없음,승합,"2,497cc",은색,없음,없음,없음,사고있음,없음,없음,없음,7회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,현대,그랜드스타렉스,6190000,11년12월(12년형),"236,560km",디젤,오토,정보없음,승합,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,5회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,현대,그랜드스타렉스,18000000,17년07월(17년형),"29,172km",디젤,오토,정보없음,승합,"2,497cc",은색,없음,없음,없음,사고없음,없음,없음,있음,1회,짧음,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
13,현대,그랜드스타렉스,18000000,17년07월(17년형),"36,052km",디젤,오토,정보없음,승합,"2,497cc",은색,없음,없음,없음,사고없음,없음,없음,있음,1회,짧음,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
14,현대,그랜드스타렉스,11900000,14년03월(15년형),"168,631km",디젤,오토,정보없음,승합,"2,497cc",은색,없음,없음,없음,사고있음,없음,없음,있음,2회,많음,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
15,현대,그랜드스타렉스,20300000,17년06월(18년형),"19,809km",디젤,오토,정보없음,승합,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1
16,현대,그랜드스타렉스,21300000,17년10월(18년형),"2,287km",디젤,오토,정보없음,승합,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
17,현대,그랜드스타렉스,5000000,08년04월(08년형),"220,000km",디젤,오토,정보없음,승합,"2,500cc",은색,없음,없음,없음,사고있음,없음,없음,없음,4회,보통,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
18,현대,그랜드스타렉스,17900000,15년07월(16년형),"52,357km",디젤,오토,정보없음,승합,0cc,노랑색,정보없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
19,현대,더 뉴 그랜드 스타렉스,19500000,18년10월(19년형),"51,000km",디젤,오토,정보없음,트럭,"2,497cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
20,현대,그랜드스타렉스,7300000,08년08월(09년형),"173,000km",디젤,오토,정보없음,승합,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,현대,그랜드스타렉스,12700000,14년05월(15년형),"112,249km",디젤,오토,정보없음,승합,"2,497cc",회색,없음,없음,없음,사고있음,없음,없음,있음,1회,보통,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1
22,현대,그랜드스타렉스,11000000,12년02월(12년형),"118,829km",디젤,오토,정보없음,승합,"2,497cc",회색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0
23,현대,그랜드스타렉스,27900000,19년01월(19년형),"8,788km",LPG,오토,정보없음,승합,0cc,노랑색,정보없음,없음,1 건,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,현대,뉴스타렉스,28900000,19년01월(19년형),"15,441km",디젤,오토,정보없음,승합,0cc,노랑색,정보없음,없음,1 건,사고없음,없음,없음,없음,2회,보통,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,현대,더 뉴 그랜드 스타렉스,25800000,18년03월(18년형),"33,652km",디젤,오토,9.4Km,승합,"2,497cc",갈색,정보없음,없음,1 건,사고없음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,현대,그랜드스타렉스,13800000,16년05월(17년형),"50,340km",디젤,오토,정보없음,승합,"2,497cc",하이퍼메탈릭,없음,없음,없음,사고없음,없음,없음,있음,1회,짧음,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1
27,현대,그랜드스타렉스,6500000,09년06월(09년형),"188,679km",디젤,오토,정보없음,승합,"2,497cc",은색,없음,없음,없음,사고없음,없음,없음,없음,1회,보통,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
28,현대,그랜드스타렉스,6900000,10년03월(10년형),"230,492km",디젤,오토,정보없음,승합,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,현대,그랜드스타렉스,12200000,13년07월(14년형),"105,248km",디젤,오토,정보없음,승합,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,없음,없음,보통,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
30,현대,그랜드스타렉스,15000000,16년03월(16년형),"34,980km",디젤,오토,정보없음,승합,"2,497cc",노랑색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
31,현대,그랜드스타렉스,6700000,10년08월(11년형),"144,075km",디젤,수동,정보없음,승합,"2,497cc",회색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
32,현대,그랜드스타렉스,11700000,14년11월(15년형),"148,379km",디젤,오토,정보없음,승합,0cc,회색,정보없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,현대,그랜드스타렉스,12200000,14년10월(15년형),"113,899km",디젤,오토,정보없음,승합,"2,497cc",은색,없음,없음,1 건,사고있음,없음,없음,없음,2회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,현대,더 뉴 그랜드 스타렉스,23700000,19년05월(19년형),"1,284km",LPG,오토,정보없음,승합,"2,359cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,3회,짧음,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
35,현대,그랜드스타렉스,13900000,14년10월(15년형),"129,755km",디젤,오토,정보없음,승합,"2,500cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,4회,많음,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
36,현대,더 뉴 그랜드 스타렉스,27200000,19년06월(19년형),"34,737km",디젤,오토,9.4Km,승합,"2,500cc",검정색,없음,없음,없음,사고없음,없음,없음,없음,1회,많음,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
37,현대,그랜드스타렉스,22500000,16년06월(17년형),"3,691km",디젤,오토,정보없음,승합,0cc,흰색,정보없음,없음,1 건,사고없음,없음,없음,없음,3회,짧음,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
38,현대,그랜드스타렉스,5300000,09년03월(09년형),"101,597km",디젤,수동,정보없음,승합,"2,500cc",은색,없음,없음,없음,사고있음,없음,없음,있음,6회,짧음,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
39,현대,뉴스타렉스,22500000,18년12월(19년형),"11,604km",디젤,오토,정보없음,승합,0cc,노랑색,정보없음,없음,1 건,사고있음,없음,없음,없음,없음,짧음,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
40,현대,그랜드스타렉스,6990000,07년06월(08년형),"139,802km",디젤,오토,정보없음,승합,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,현대,그랜드스타렉스,8500000,10년08월(11년형),"132,418km",디젤,오토,정보없음,승합,"2,500cc",회색,없음,없음,없음,사고없음,없음,없음,있음,3회,짧음,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
42,현대,그랜드스타렉스,7770000,11년06월(11년형),"110,000km",디젤,오토,정보없음,승합,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1
43,현대,그랜드스타렉스,21900000,12년04월(12년형),"44,134km",디젤,오토,정보없음,승합,0cc,검정색,정보없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0
44,현대,그랜드스타렉스,15300000,14년08월(15년형),"30,000km",디젤,오토,정보없음,승합,"2,497cc",노랑,없음,없음,1 건,사고있음,없음,없음,없음,2회,짧음,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
45,현대,그랜드스타렉스,14990000,15년08월(15년형),"67,256km",디젤,오토,정보없음,승합,0cc,노랑색,정보없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,현대,그랜드스타렉스,17770000,16년05월(17년형),"24,303km",디젤,오토,정보없음,승합,"2,497cc",은색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,현대,그랜드스타렉스,17000000,16년01월(16년형),"49,470km",디젤,오토,정보없음,승합,0cc,노랑색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,현대,그랜드스타렉스,15300000,15년04월(15년형),"44,241km",디젤,오토,정보없음,승합,"2,497cc",노랑,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,현대,그랜드스타렉스,20500000,16년03월(16년형),"23,000km",디젤,오토,정보없음,승합,0cc,노랑,없음,없음,없음,사고없음,없음,없음,없음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,현대,그랜드스타렉스,10490000,09년04월(09년형),"106,641km",디젤,오토,정보없음,승합,0cc,은색,정보없음,1 건,없음,사고있음,없음,없음,있음,3회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,현대,스타렉스밴,3200000,06년03월(06년형),"203,258km",디젤,수동,정보없음,트럭,"2,476cc",은색,없음,없음,없음,사고있음,없음,없음,없음,6회,보통,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,현대,그랜드스타렉스,9900000,09년05월(09년형),"100,000km",디젤,오토,정보없음,승합,"2,497cc",은색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
53,현대,그랜드스타렉스,6200000,10년04월(10년형),"138,101km",디젤,오토,정보없음,승합,"2,497cc",노랑,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,현대,그랜드스타렉스,18500000,14년07월(15년형),"30,000km",디젤,오토,정보없음,승합,0cc,노랑,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,현대,그랜드스타렉스,10400000,13년03월(14년형),"152,371km",디젤,오토,정보없음,승합,"2,497cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
56,현대,그랜드스타렉스,11900000,13년10월(14년형),"60,000km",디젤,오토,정보없음,승합,0cc,노랑,없음,없음,1 건,사고있음,없음,없음,없음,없음,짧음,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0
