,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
0,현대,쏘나타 (DN8),27990000,19년11월(20년형),"13,282km",가솔린,오토,13.2Km,중형,"1,598cc",쥐색,없음,없음,없음,사고없음,없음,없음,없음,없음,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
1,현대,쏘나타 뉴 라이즈,15700000,17년06월(18년형),"72,784km",가솔린,오토,정보없음,중형,0cc,회색,정보없음,없음,1 건,사고없음,없음,없음,있음,3회,많음,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2,현대,LF쏘나타,8990000,16년04월(16년형),"113,817km",LPG,오토,정보없음,중형,"1,999cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,2회,많음,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
3,현대,LF쏘나타,8800000,16년04월(16년형),"115,312km",LPG,오토,정보없음,중형,"1,998cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,2회,많음,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0
4,현대,쏘나타 뉴 라이즈,15900000,17년07월(18년형),"71,427km",LPG,오토,9.5Km,중형,"1,999cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,1회,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
5,현대,LF쏘나타,12100000,16년07월(16년형),"83,042km",가솔린,오토,12.6Km,중형,"1,596cc",파랑색,정보없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
6,현대,YF쏘나타,6700000,09년12월(10년형),"98,416km",LPG,오토,정보없음,중형,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
7,현대,쏘나타 하이브리드,6990000,13년10월(14년형),"145,711km",하이브리드(가솔린),오토,정보없음,중형,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1
8,현대,쏘나타 하이브리드,10400000,12년01월(12년형),"62,274km",하이브리드(가솔린),오토,정보없음,중형,"1,999cc",흰색,없음,없음,1 건,사고있음,없음,없음,없음,2회,짧음,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1
9,현대,YF쏘나타,4300000,09년11월(10년형),"139,327km",가솔린,오토,정보없음,중형,"1,991cc",검정,없음,없음,1 건,사고있음,없음,없음,없음,없음,보통,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
10,현대,쏘나타 더 브릴리언트,6990000,13년10월(14년형),"61,193km",가솔린,오토,정보없음,중형,"1,998cc",검정색,없음,없음,1 건,사고있음,없음,없음,없음,없음,짧음,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,현대,YF쏘나타,5800000,11년07월(12년형),"107,858km",가솔린,오토,정보없음,중형,"1,998cc",회색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
12,현대,LF쏘나타,15500000,16년05월(17년형),"57,356km",LPG,오토,정보없음,중형,"1,999cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,보통,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
13,현대,YF쏘나타,4100000,10년11월(11년형),"158,809km",가솔린,오토,정보없음,중형,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,현대,YF쏘나타,5100000,11년01월(11년형),"112,000km",가솔린,오토,정보없음,중형,"1,993cc",회색,없음,없음,없음,사고있음,없음,없음,없음,없음,보통,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1
15,현대,YF쏘나타,4590000,11년06월(11년형),"170,905km",LPG,오토,정보없음,중형,"1,999cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,현대,쏘나타 뉴 라이즈,16000000,17년08월(18년형),"33,041km",가솔린,오토,정보없음,중형,"1,999cc",다크블루,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
17,현대,YF쏘나타,4900000,10년07월(11년형),"118,000km",가솔린,오토,정보없음,중형,"2,000cc",은색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
18,현대,쏘나타 하이브리드,7500000,12년09월(12년형),"119,000km",하이브리드(가솔린),오토,정보없음,중형,"2,000cc",회색,없음,없음,없음,사고있음,없음,없음,없음,없음,보통,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
19,현대,NF쏘나타,2200000,05년04월(05년형),"139,000km",가솔린,오토,정보없음,중형,"2,000cc",은색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
20,현대,LF쏘나타 하이브리드,21500000,16년02월(16년형),"58,941km",기타,오토,17.7Km,중형,0cc,흰색,정보없음,없음,1 건,사고있음,없음,없음,없음,3회,보통,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0
21,현대,NF쏘나타,3900000,06년08월(07년형),"73,500km",가솔린,오토,정보없음,중형,"2,000cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,4회,짧음,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
22,현대,LF쏘나타,12900000,15년11월(16년형),"66,952km",디젤,오토,16.5Km,중형,0cc,은색,정보없음,2 건,1 건,사고있음,없음,없음,없음,없음,보통,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0
23,현대,YF쏘나타,6500000,09년11월(10년형),"71,500km",가솔린,오토,정보없음,중형,"1,998cc",은색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
24,현대,LF쏘나타,8500000,14년10월(15년형),"138,865km",가솔린,오토,12.6Km,중형,"1,998cc",검정색,정보없음,없음,정보없음,사고있음,없음,없음,없음,5회,많음,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0
25,현대,쏘나타 더 브릴리언트,6500000,12년11월(13년형),"124,799km",LPG,오토,정보없음,중형,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,4회,보통,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
26,현대,LF쏘나타,12400000,15년11월(16년형),"84,512km",LPG,오토,정보없음,중형,"1,999cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,2회,보통,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
27,현대,NF쏘나타트랜스폼,4190000,09년04월(09년형),"74,942km",가솔린,오토,정보없음,중형,"1,998cc",은색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
28,현대,LF쏘나타,8900000,16년12월(17년형),"127,697km",LPG,오토,정보없음,중형,"1,999cc",은색,없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
29,현대,NF쏘나타,2100000,05년06월(05년형),"168,383km",가솔린,오토,정보없음,중형,"1,998cc",은색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
30,현대,쏘나타 더 브릴리언트,6800000,12년08월(13년형),"158,260km",가솔린,오토,11.9Km,중형,"1,999cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,5회,많음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
31,현대,쏘나타 (DN8),27990000,19년04월(20년형),"5,137km",가솔린,오토,11.6Km,중형,"1,999cc",진주색,없음,없음,없음,사고없음,없음,없음,없음,2회,짧음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
32,현대,NF쏘나타트랜스폼,3550000,09년06월(09년형),"68,000km",가솔린,오토,정보없음,중형,"1,998cc",검정색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
33,현대,NF쏘나타트랜스폼,3500000,08년07월(09년형),"194,268km",LPG,오토,정보없음,중형,"1,998cc",은색,없음,없음,없음,사고있음,없음,없음,있음,9회,보통,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
34,현대,쏘나타 뉴 라이즈,13900000,17년03월(18년형),"86,431km",가솔린,오토,정보없음,중형,"1,999cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,1회,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
35,현대,NF쏘나타트랜스폼,2500000,09년03월(09년형),"130,000km",가솔린,오토,정보없음,중형,"1,998cc",연하늘색,없음,없음,없음,사고없음,없음,없음,있음,5회,짧음,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
36,현대,LF쏘나타,11800000,16년03월(16년형),"99,152km",가솔린,오토,12.6Km,중형,"1,999cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
37,현대,LF쏘나타,10500000,15년04월(15년형),"79,728km",가솔린,오토,12.6Km,중형,"2,000cc",검정색,없음,없음,없음,사고있음,없음,없음,있음,3회,보통,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1
38,현대,YF쏘나타,6300000,10년03월(10년형),"94,710km",가솔린,오토,정보없음,중형,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0
39,현대,YF쏘나타,4000000,10년01월(10년형),"152,030km",가솔린,오토,정보없음,중형,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
40,현대,NF쏘나타,2500000,07년04월(07년형),"180,000km",디젤,수동,정보없음,중형,"2,000cc",은색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,현대,YF쏘나타,6800000,10년10월(11년형),"52,482km",가솔린,오토,정보없음,중형,"1,998cc",다크그레이,없음,없음,없음,사고없음,없음,없음,없음,3회,짧음,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1
42,현대,YF쏘나타,3300000,11년01월(11년형),"195,861km",가솔린,오토,정보없음,중형,"1,999cc",은색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1
43,현대,YF쏘나타,5000000,09년12월(10년형),"142,124km",가솔린,오토,정보없음,중형,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,현대,쏘나타 뉴 라이즈 하이브리드,19500000,18년04월(18년형),"95,874km",하이브리드(가솔린),오토,정보없음,중형,"1,998cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
45,현대,YF쏘나타,3900000,11년04월(11년형),"175,538km",LPG,오토,정보없음,중형,"1,999cc",검정,없음,없음,없음,사고있음,없음,없음,있음,2회,많음,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
46,현대,YF쏘나타,4200000,09년10월(10년형),"90,940km",가솔린,오토,정보없음,중형,"1,999cc",세틴메탈,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
47,현대,LF쏘나타,14900000,15년12월(16년형),"85,308km",디젤,오토,16.5Km,중형,"1,699cc",검정색,없음,없음,없음,사고없음,없음,없음,있음,2회,보통,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
48,현대,YF쏘나타,5100000,09년10월(10년형),"178,900km",가솔린,오토,정보없음,중형,"1,998cc",회색,없음,없음,없음,사고있음,없음,없음,없음,4회,보통,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
49,현대,NF쏘나타,2900000,07년06월(07년형),"142,009km",LPG,오토,정보없음,중형,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,현대,LF쏘나타,13000000,16년03월(16년형),"78,621km",LPG,오토,정보없음,중형,"1,999cc",검정색,없음,없음,없음,사고있음,없음,없음,있음,2회,많음,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
