,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
0,현대,아반떼MD,4990000,11년11월(12년형),"140,958km",가솔린,오토,정보없음,준중형,"1,591cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
1,현대,아반떼MD,5990000,11년07월(12년형),"103,416km",가솔린,오토,정보없음,준중형,"1,591cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
2,현대,더 뉴 아반떼,7600000,15년08월(16년형),"46,013km",디젤,오토,정보없음,준중형,"1,582cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,3회,짧음,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1
3,현대,더 뉴 아반떼,5900000,13년11월(14년형),"124,574km",디젤,오토,16.2Km,준중형,"1,582cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,4회,보통,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
4,현대,아반떼AD,7000000,16년07월(17년형),"112,252km",디젤,오토,18.4Km,준중형,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,있음,2회,많음,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
5,현대,더 뉴 아반떼,7200000,13년11월(14년형),"127,899km",디젤,오토,16.2Km,준중형,0cc,빨강색,정보없음,없음,1 건,사고있음,없음,없음,없음,6회,많음,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
6,현대,아반떼AD,7790000,15년10월(16년형),"80,404km",가솔린,오토,13.7Km,준중형,"1,591cc",파랑색,없음,없음,없음,사고없음,없음,없음,없음,없음,보통,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
7,현대,아반떼AD,12800000,17년08월(18년형),"48,061km",가솔린,오토,13.1Km,준중형,"1,591cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
8,현대,아반떼HD,3700000,09년02월(09년형),"90,308km",가솔린,오토,정보없음,준중형,"1,591cc",은색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
9,현대,아반떼MD,6900000,12년06월(12년형),"89,513km",가솔린,오토,정보없음,준중형,"1,596cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0
