,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
0,현대,포터2,19990000,20년05월(20년형),567km,디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,2회,짧음,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
1,현대,포터2,14700000,18년08월(18년형),"26,535km",디젤,오토,정보없음,트럭,"2,497cc",감청,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,현대,포터2,4550000,09년06월(09년형),"284,576km",디젤,오토,정보없음,트럭,"2,497cc",진주색,없음,없음,없음,사고있음,없음,없음,없음,5회,많음,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
3,현대,포터2,16600000,19년01월(19년형),"44,664km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,많음,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
4,현대,포터2,16400000,17년03월(17년형),"46,757km",디젤,오토,정보없음,트럭,"2,497cc",파랑색,없음,없음,없음,사고없음,없음,없음,없음,1회,보통,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,현대,포터2,8500000,13년06월(14년형),"87,454km",디젤,수동,정보없음,트럭,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,현대,포터2,13900000,18년11월(19년형),"80,000km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,현대,포터2,11000000,14년05월(15년형),"130,000km",디젤,오토,정보없음,트럭,"2,497cc",청색,없음,없음,없음,사고없음,없음,없음,없음,2회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,현대,포터2,4900000,12년09월(13년형),"216,773km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
9,현대,포터2,3900000,08년04월(08년형),"225,602km",디젤,수동,정보없음,트럭,"2,607cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10,현대,포터2,7390000,12년01월(12년형),"119,247km",디젤,수동,정보없음,트럭,"2,497cc",초록색,없음,없음,정보없음,사고없음,없음,없음,없음,1회,보통,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
11,현대,포터2,11300000,17년04월(18년형),"52,790km",디젤,수동,정보없음,트럭,0cc,파랑,없음,없음,1 건,사고없음,없음,없음,없음,3회,보통,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,현대,포터2,13900000,18년10월(18년형),"9,399km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,현대,포터2,7800000,13년09월(14년형),"209,249km",디젤,오토,정보없음,트럭,"2,497cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0
14,현대,포터2,3800000,07년05월(07년형),"269,000km",디젤,수동,정보없음,트럭,"2,500cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,현대,포터2,5300000,06년09월(07년형),"97,000km",디젤,수동,정보없음,특수,"2,476cc",파랑색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,현대,포터2,2900000,09년06월(10년형),"235,257km",디젤,수동,정보없음,트럭,0cc,흰색,없음,없음,없음,사고있음,없음,없음,없음,4회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,현대,포터2,17400000,17년11월(18년형),"14,361km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,현대,포터2,16200000,19년08월(19년형),"20,750km",디젤,오토,정보없음,트럭,"2,497cc",초록색,없음,없음,없음,사고없음,없음,없음,없음,1회,많음,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
19,현대,포터2,4200000,07년10월(08년형),"89,105km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,현대,포터2,12300000,18년01월(18년형),"144,332km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,2회,많음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,현대,포터2,11490000,17년05월(17년형),"89,535km",디젤,수동,정보없음,트럭,0cc,흰색,정보없음,없음,1 건,사고있음,없음,없음,없음,2회,많음,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
22,현대,포터2,5990000,13년02월(13년형),"262,557km",디젤,수동,정보없음,트럭,"2,497cc",흰색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,현대,포터2,4500000,09년08월(09년형),"124,988km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,8회,짧음,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
